cra_no,unnamed: 0,block group,county,household_family,household_female_family,household_male_family,household_married_family,household_nonfamily,household_total,population_25andover,population_65andover,population_asian,population_black,population_edu_advanced,population_edu_associate,population_edu_bachelor,population_edu_highschool,population_edu_nodiploma,population_edu_somecollege,population_female,population_hispanic,population_male,population_race_other,population_total,population_under18,population_white,state,tract,household_family_margin,household_female_family_margin,household_male_family_margin,household_married_family_margin,household_nonfamily_margin,household_total_margin,population_25andover_margin,population_65andover_margin,population_asian_margin,population_black_margin,population_edu_advanced_margin,population_edu_associate_margin,population_edu_bachelor_margin,population_edu_highschool_margin,population_edu_nodiploma_margin,population_edu_somecollege_margin,population_female_margin,population_hispanic_margin,population_male_margin,population_race_other_margin,population_total_margin,population_under18_margin,population_white_margin
5.1,306.32212026249925,2.2522612982454975,33.000000000000014,327.7262786225282,52.65623750256276,11.027887439763997,264.04215368020147,206.16199039971931,533.8882690222474,976.3307985204161,202.5949610332951,102.76830693012528,178.53789063685917,373.70017881993857,51.28091690288813,327.0565844604687,66.52487362478993,32.95539527602028,124.81284943631059,665.5068613858754,60.277511415653464,646.2590507213707,214.66038266942084,1311.7659121072459,264.1645135936513,815.7993318708408,53.00000000000002,8281.457560530233,39.006000382077225,18.845272399938104,9.438938765259882,37.727989479207935,36.65795919923787,41.80278061737472,88.58802627187798,37.96575510571459,33.55881303056928,58.37506180694274,61.41072364688995,20.93014521439872,47.28046712034798,24.9479014242146,23.57107836833944,37.24521685997328,74.93325092662134,32.65110179116868,70.91304471447792,164.82046488203738,122.49869891387195,48.687251478812456,87.32704412353814
5.2,331.54500707948296,1.545007079482904,33.0,291.7201132717265,50.27004247689743,20.019688502752224,221.43038229207684,595.4824353421191,887.2025486138455,1384.3593821999175,390.26303001868297,506.53448839216117,374.71869737514567,261.1061964326108,89.52531857673068,339.016182273645,254.25035397414524,230.72645129399535,209.73487964879064,884.3481220519608,45.73487964879063,891.377654806089,182.230665471393,1775.7257768580498,241.59072210725623,712.24192561935,53.0,9000.0,57.681541509665294,26.67018934795839,19.339141748173212,51.23848830654912,81.42077392518262,69.5883140832855,131.01001082295653,77.27318901420439,96.00413752350293,136.77966389603407,63.95030238533817,40.469007168769636,81.81756671214252,73.41111345643165,72.36983333656417,65.17614134875691,129.93739531698907,34.43140620907471,112.4936385945024,287.7243990947142,183.98638442315945,75.33409549342483,144.9443662380986
5.3,305.7631945886164,2.1925253752977287,33.00000000000001,237.2805763687311,47.7344551687346,20.128690474842365,169.41743072515413,318.17926844152214,555.4598448102532,960.6690447161377,96.14591233427575,88.38291302252605,206.69898649796366,213.65171540409858,57.74594857122009,355.58584695678877,95.6522521638363,51.847995329460524,186.18528629073364,640.7557838818577,95.74472154802216,676.306175505084,131.01866479442455,1317.0619593869417,203.5039373704813,890.9613950720274,53.000000000000014,8258.60183273379,23.43837394174064,13.322340361605573,11.99136153651394,18.46274122919548,25.006632125965606,26.176723144488182,65.62123995584,19.14923200948928,22.459762681455764,48.639881433853624,24.42706197848647,13.240293864184348,37.228240716033085,26.71233418229821,19.68671944754857,30.35361744136627,52.65186631202595,32.74116638143697,61.349745860042255,129.518602576333,90.2630290095957,28.709501942287275,75.87736817874173
6.1,313.44159293308576,1.7110731816416123,32.99999999999998,169.645008678001,14.462255076990274,13.183567907483456,141.99918569352724,608.4636754702271,778.108684148228,1002.4513091552581,254.32341072253016,201.08380764788888,118.46847237099728,234.5744684969597,54.92094609176052,332.9707378066564,100.74485133609821,65.31885343137446,213.92145199240878,620.8144451114797,109.87829688834476,770.8279576811751,130.94571586642022,1391.6424027926548,41.001706826127354,941.1444069073484,52.99999999999998,8409.18073653798,24.031982375067273,8.496355517903812,8.112246761593504,22.084725819191043,39.89201367533308,37.44735879050301,61.56821103040025,34.73567942315089,39.642797440021134,35.274541273248005,33.702863229835486,16.18828287609399,37.69938369758449,24.311744027546293,22.13586614552412,38.965751312854174,52.94592211455117,33.25386822669487,60.03544220765299,119.1516944485095,82.56723921254502,17.797702340632593,67.55688453341166
6.2,284.7619248703571,2.619974872465112,33.0,186.1675524263249,32.15876520932584,7.03843703360176,146.9703501833973,835.9073377461108,1022.0748901724355,1259.014370251697,91.00289017243563,188.79123673004767,92.43971600826339,278.8931320881994,138.7302351701167,517.5961998397909,80.69444681478984,25.969802774147325,217.13055356465284,666.9624473207134,96.05650423710948,865.5635640625659,137.66942855938277,1532.5260113832792,75.27060466292843,1113.6256300855855,53.0,7688.715125258232,30.53259269700487,13.335940387752107,6.768187560856147,26.95337009336746,51.175186755772415,50.857617699541464,92.81427354785555,20.93909514357867,38.09698159730402,35.12455852480881,37.374074459019596,57.418899359558466,52.32250028344719,21.182460149334204,18.130584516788574,39.48832998175861,59.55022221021763,37.250978834292034,75.37332608934982,143.5709573624695,99.96611952493528,26.307766408179184,89.07457620844653
6.3,240.80632222049556,1.8063222204955751,33.0,312.6992304779828,14.425219510813054,25.41283572683899,272.86117524033074,452.7545265117206,765.4537569897034,1158.5962941371918,168.92401195450694,73.94577973451791,5.807039971702054,495.64697115000746,61.31922757607002,365.80996077266434,42.76989377110433,17.740612784385327,175.3096280829603,611.0577738207975,37.51942178100176,827.8509910718963,55.41275072998559,1438.9087648926936,199.69961596876237,1303.7431944564883,53.0,6500.0,60.77661177952573,17.320512767281922,26.164741009467708,55.2924529067128,70.49181337183393,77.60349058797755,141.90892588096196,51.2535092089968,39.25872240159161,10.560414916705321,105.16360938472575,40.35072563235093,75.24949135044696,25.18513215827757,33.20289413848883,73.76397785063095,95.60529914049964,24.369539924194576,133.0075307622135,258.1061446072298,185.86982454094726,68.50489308712807,174.4087743243082
6.4,258.88690289872034,2.105174930137312,33.000000000000014,236.354574984695,18.94315509076808,12.998323672608905,204.413096221318,308.9621918090637,545.3167667937587,903.7913830360953,116.45559460910212,81.80405700141678,43.46868467068686,339.2026797353579,36.56595000056572,372.0216212920609,48.34103048565099,9.968536334254772,97.69156518820506,569.1862407902563,48.373861863583336,594.2546483986581,48.61752268101765,1163.4408891889145,196.90288929199522,989.5506248357933,53.00000000000003,6966.7743991431735,27.743705401915037,8.852532723160948,10.136781838377651,26.493558762810256,35.23708261216928,34.14652180943437,63.41486859728052,29.375301041196252,24.10015072769501,20.793550295241285,45.12092439351785,14.17402350388881,45.14901356817214,18.30206813496077,20.386162756733444,21.897722228112432,52.27152072869128,18.662999755002097,53.15098407506967,113.9635533757062,78.72430989219704,31.390145104101915,76.0064834802691
6.5,234.38884873441742,2.388848734417404,33.0,332.9125280945077,13.652271665873196,11.98296033685495,307.2772960917796,270.62496520015645,603.5374932946642,963.6055768776636,397.8091587906479,54.36286975540895,9.640511393600743,426.57263113976757,36.53924705587668,327.93206202935335,28.017004203142054,7.59687182416063,136.94776062536351,583.6533347114951,31.732891114402264,604.4089424846296,52.59295273936067,1188.0622771961248,185.2618804213252,1071.4659433077543,53.0,6300.0,53.20388164799206,13.062608838977786,16.490601347775446,49.538835659293824,69.41874190897906,69.93437770468384,109.24622330094597,81.14112115617769,31.062016309040132,14.21281939364148,82.26226276510721,36.25234396579141,72.70111891123182,19.451859739081897,26.98958384096633,48.37354837643967,73.56963727518473,28.374002774288616,91.44936696501755,190.75437247096437,133.0956454162433,53.448546647733316,132.30996446120642
7.1,229.08070602117263,1.882536142341976,33.000000000000014,327.19451591166217,36.07955625748847,18.51909616434613,272.59586348982765,299.6633711270617,626.8578870387239,1011.8604188060407,190.77374140316329,106.69297497614559,24.10795140320436,416.0549136049799,32.767241323697334,413.57030126095754,59.457914133384335,13.872086224359041,76.13796225866257,700.8855523293493,62.52268855274046,687.4462725195046,91.69719341541106,1388.3318248488538,229.38440755061336,1165.8337050540927,53.000000000000014,6154.954246970767,30.840583900843647,15.769690043233513,12.001759314126277,27.994100486742326,32.96810051084379,34.85284145656523,70.06965577355157,32.54179969134805,28.441962298740535,15.86553543294813,47.599761060448564,14.909426158072671,57.749267840466274,21.329807716670132,21.116763786353825,19.986213746118924,59.24407264841549,24.10962703055192,58.4449162192451,130.8580923155015,92.28755064729664,39.54033113389979,86.86879696414508
7.2,178.68386676715627,2.0981562410389536,33.00000000000003,97.55452278181099,12.419620825095489,4.684264118836693,80.45063783787883,269.2759195920558,366.83044237386684,442.76891016692156,46.35913682480878,462.72397806335744,51.480017573084474,153.48425331841747,14.861473771487663,168.48218685386163,27.27372979519766,9.33460831736066,69.33265811059641,1096.4874689193173,126.09123406820214,935.9369951157585,231.81660156544777,2032.424464035076,69.84519178526705,1286.4038668331862,53.00000000000004,4973.288831045597,21.750134411294486,8.854921534994666,6.229317440947897,20.877126916664555,32.59064854561099,33.59093256188252,61.59056778236748,22.56668766148247,58.04750451801761,24.452375345490594,36.40674753141947,11.434927326323514,45.711204071425584,14.347657416690545,18.798937814612426,24.419392947077863,134.4806808194487,32.63676460244966,89.51392361876805,225.5711222489827,158.17758358105394,25.24183219614718,147.96875279706242
7.3,127.11566198651428,2.3564791419952575,33.0,310.435171778912,29.96201738331842,5.319884257682649,275.1532701379108,251.0974204326495,561.5325922115613,959.4469543215515,173.3712280209337,139.91956933333918,21.477533868030033,356.77597226402776,51.59674400580907,373.0988015737703,56.36460175678731,9.619168942478167,111.99166577867904,719.1624124737173,44.77874855267176,690.7035638329426,108.4432277946342,1409.8659763066598,269.82093872006743,1140.025645310656,52.99999999999998,3645.803382656008,19.26324944701589,9.472857180415458,4.001423977945894,18.663761261112988,20.66334658233195,21.43433500911542,46.73819988934405,20.46523646058716,21.34172707973162,8.458767944222688,29.872531657467214,10.673524169547697,32.77433621864582,15.629199300967116,12.398655856225743,19.053466814805848,45.37825902662601,12.61334487587843,48.24617407195208,98.72901316316812,71.74680001015696,25.720223800422467,63.818450769315945
7.4,88.61034276415613,2.2198946016248238,32.999999999999986,364.2934005993105,44.51678997108775,9.903477940300967,309.8731326879218,164.10425634954797,528.3976569488584,965.7413354887751,197.81674314517474,157.86602045380295,8.040484951594143,387.2226062684898,56.137402188414946,296.85763853906195,80.77589335598682,9.053556517770186,135.6942386190515,694.6018984530274,52.6900372622831,634.0263478764618,95.39490578336276,1328.628246329489,304.425563590124,1067.3268351407291,52.99999999999998,2491.3314625865905,37.38428883387823,15.614949516044437,5.859284653873793,35.67504426108744,24.77355785269783,31.148192753402103,67.2033869391225,33.242567153567784,38.84320105909978,9.52724575018292,68.12299385782661,17.46970666883005,41.14311163162992,26.80087682119207,18.087188918554727,25.65703551754367,61.18309625300624,23.461991131702558,62.13444307027232,144.8938196536513,107.14077901039025,46.172372677383116,88.96915064655563
7.5,140.76167034184112,3.128139779689091,33.0,374.1391750314302,32.62071700824171,15.547261579293968,325.9711964438946,150.69129058490142,524.8304656163317,953.4157168585739,197.67535895312406,151.88271462353578,27.658325517351404,390.50990675699944,64.093927231546,364.08214538724036,39.362522450160625,22.658874049609857,72.70834098301769,692.0325445012073,31.686614964778176,707.5638190716609,76.40830730777674,1399.596363572868,355.53047409750354,1143.6470161242041,53.00000000000001,4081.676528107602,33.56872890896979,13.927651726671023,10.026259925778863,31.970336416448667,21.342678117767,32.463853279112286,75.39469907482642,35.951923828182856,52.18818446977774,21.81424998257749,51.55011604285038,26.31412554263006,44.968701070091896,18.174378372169812,21.01257420524218,25.48559625740638,66.49069874136171,16.906443409075212,68.12908029615845,161.8940204323771,114.32972473341538,49.20408716290452,99.6941311892855
8.1,63.184387417603276,2.189057559585131,33.00000000000001,281.0674172934369,37.65222081935849,22.166909319060263,221.24828715501818,378.6770943679754,659.7445116614123,1044.3051424853409,181.5758300865214,195.68284087652304,27.980333847142926,213.2879593496565,84.61499910922456,359.210034624054,117.87721396426052,49.515174320880554,219.79976111726478,714.6939685982294,81.4963626927754,671.2158142849397,120.5045575169828,1385.9097828831689,202.86422971162114,1041.74205064252,53.00000000000001,1727.7770737639526,28.37197507382102,14.112878023153323,9.032050133857012,25.668142500766695,32.08322787499322,31.122091919920297,61.63511808370011,30.485475126073013,40.49069273829209,15.27325985620499,28.96435184528414,19.89459512330284,40.448588405367616,29.979748492125463,20.40174734816367,39.4450009655638,54.21342634448972,27.087152135332158,54.337672510877276,120.75508600575898,81.91208964546642,31.03176475868865,77.45599848371577
8.2,19.964517493572835,2.889429384220341,32.99999999999998,313.40070213573586,63.71726581543171,21.74547527886328,227.9379610414409,226.4260097206469,539.8267118563828,919.721753003366,164.1509193890188,213.48341445931376,83.73601820405497,209.1406214671307,60.40207245290388,316.3417314679653,121.5673906375527,63.56917388454034,148.70076309327322,654.1082204301027,114.39199856740734,615.8525460689361,118.24465549172103,1269.9607664990392,237.20015545593202,854.4966783439492,52.999999999999964,487.7042264839954,33.7259104913044,22.001839250971816,10.722148029594827,25.822358723022354,31.133911111663327,36.48275122911122,69.68664903875472,30.51639363100397,50.16253003765405,53.42117125899869,36.613308672330234,14.955587779380478,39.77891193186493,28.2408223241241,28.041375983018266,26.61250767850899,67.11269307134432,45.86154406670884,58.586936956303695,156.5239640023205,110.08975857852805,41.15134150583439,83.72511812269552
8.3,22.960994732683126,2.0124506666550253,33.00000000000001,300.43562707920415,27.772269039178532,12.912182825883852,259.7511752141417,243.5269690771609,543.962596156365,903.5187736843715,200.30133478350086,115.23875592655007,77.42521550595056,276.8115373449056,51.69968080670934,266.12029041186804,101.14444164913078,48.002566534528974,159.7402569372288,634.3930525116349,73.32809757742717,568.0627709513915,95.93819361373305,1202.4558234630263,211.49538755053393,913.8536584167927,53.0,569.1201365180266,28.08950902078756,9.93411515561112,6.940678432515051,26.193800256801193,26.87592432246807,30.955015796031205,55.78209054562103,29.44895707242331,31.728270644215854,22.449216435226298,35.74512204597431,12.889754456609415,37.12254244722713,24.749400395524425,24.16786204820347,25.63643520621722,51.24953665570925,32.54053880166146,48.01634947386175,116.04112268963203,81.20933924369552,32.63910596615136,73.21157625706718
9.1,69.0986539029955,1.937785501176823,33.0,309.91473941343367,84.68535352863756,9.185956462331752,216.04342942246438,361.4222647118034,671.3370041252371,1051.4530258779744,267.27473503694455,149.8565643020794,201.0036628601007,179.94746206790037,85.21635253226312,336.5883410423462,168.7481164883292,61.878738124749034,219.0740156223863,688.6708175659577,85.46309110305947,676.0912768593602,91.62349176177236,1364.762094425318,201.0794699035887,922.2783755013654,53.0,109161.8019181434,39.80395675149647,30.783678900016664,6.459719401386501,31.77018193115709,42.78504038497841,46.5919076105231,76.70829433176358,36.41259426523419,51.594211300496276,81.72837371603254,32.04864026735599,26.621775363664938,45.626019433189,34.0214851069757,26.47656696658838,44.13876934925675,61.633610150053364,38.80258712901163,75.78939111638282,165.89245410926824,108.81330373194996,47.381696399627124,79.61458127344733
9.2,55.8813638630158,1.9346716946513012,33.000000000000036,326.33277616628834,39.881390996112316,14.704175527585155,271.7472096425909,409.5040300327546,735.8368061990428,1159.735737974152,134.03760800764243,256.69219498559926,45.12213374671211,232.65269226870595,126.79916747468698,407.02500442832655,106.59199706757792,102.24961168955241,184.41726504530226,768.0296124472321,136.82967633799464,789.2281222770921,161.69182843282323,1557.2577347243246,171.34316302281147,1093.7515775591896,53.00000000000006,1509.1234781148553,45.61730756410698,17.564119349615186,10.915970126867428,44.0858115388596,53.35182211237299,49.683137858803384,94.74644603388602,43.2596778025252,61.29630756402731,28.32382201900663,51.66169421285199,44.21742402916182,63.717516369381585,35.83454152034936,49.21888189840472,39.67574135224087,86.16355432482055,64.28260630369584,93.61661231491335,204.2968852682169,140.60537603026597,43.18899657347181,131.93888489347745
9.3,98.98121603819855,2.2716681139503425,33.0,293.25390637814263,30.978530814128924,13.505367872579754,248.77000769143393,276.95228044101174,570.2061868191544,957.3048827998448,116.4101497104936,82.05363873684804,15.697614950607544,278.0127465793182,74.74210936693021,363.5046322114649,74.73320159120776,22.69449635477003,143.61769669615367,654.6857638526467,58.67813463886184,617.4293179728776,100.86975504260656,1272.1150818255244,225.49133500464555,1073.4940730954622,53.0,2765.576985641121,17.848955657944938,7.499605930677637,5.449981934327198,17.053720717966176,18.26993225306183,18.953023558677508,37.75171831548437,14.841628395409643,15.625619039748116,7.6972705641464785,23.37774047909652,13.090418380193334,25.615839993037373,12.521281704892031,12.360872183313017,17.911644546224963,32.78791069436003,17.172198357690288,35.86675418332356,77.8128243409278,54.99659845285782,23.551648553042533,52.21878824727924
9.4,121.33953897428592,2.2722566513474343,33.00000000000001,251.22119573476033,35.088457350357956,10.32092677553638,205.81181160886604,371.8364202755571,623.0576160103175,1048.0860303397976,140.25649584554063,143.99492079639018,21.089846828666857,327.371531028336,39.74966852507831,477.37167668833723,68.81131085340223,19.251965622665043,115.52987762197847,702.4686287724957,69.73075752648855,694.7953557686479,106.84047493821261,1397.2639845411438,195.93650306555256,1125.338741977874,53.00000000000001,3428.5093627886727,27.53524679813676,10.05029743384722,8.677005092569734,26.781554407159746,33.78016149734224,34.71714858606887,86.14498471705427,25.05423194156747,50.46065734297184,19.670787693596115,44.63887019542553,14.359188051177393,73.20990243936077,21.328332019778443,17.523691919276366,25.339995199512003,63.03825102146392,28.64951926416428,71.15656134854426,147.3309484397333,103.62983231639855,35.55912664258648,89.63285331983535
9.5,20.824527452683302,2.7783359782861505,32.999999999999986,314.0707420503451,56.64377578140805,35.68361730446039,221.7433489644767,234.9946909396716,549.0654329900168,968.7745082521144,168.46448376622914,141.5174305372992,88.81571996625095,144.40891050883556,91.18098015115459,247.35478727284465,202.89357448512868,82.18820032179872,200.7480555123522,641.2721928287594,130.5710827055871,666.688614957724,170.08353245033655,1307.9608077864832,243.78330610385362,907.5441248325966,52.999999999999964,476.15478685992883,36.52753717471792,22.410937905819832,14.423800519582544,29.97415048884688,30.325252909680888,35.917308506276036,76.513148379172,30.73475119028075,41.30121487516575,41.54443511771456,30.660588644883823,28.678665082901286,42.08803768742871,49.589218306139855,28.18626587392653,34.29368476814481,68.15359874014868,44.21579367267373,65.01049523737285,149.16754060873728,105.50414903414803,39.665080104942106,87.68180694092112
