gis_id,public_health,farmers_market,parks,libraries,community_centers,emergency_hub,tree_rel_area,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,num_units,num_permits,total_value_permits,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
530330013002,0.849774729,3.099035616,0.718863514,1.754417756,2.174524351,0.32331047,0.000575524,0.00353899,1.52E-05,99,31,87,68,57,0.006420855,20,60,0.021945975,0,35,5216787,31,27,31,23,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330013003,0.996106247,2.612335272,0.505297956,1.59354314,2.517826101,0.501450795,0.001040317,0.002469358,9.33E-06,90,27,90,70,58,0.010291519,19,54,0.094166523,124,73,22593379,26,17,34,23,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014001,1.633533885,3.676040915,0.823685604,1.387409413,1.621872593,0.052221897,0.002156607,0.002927408,1.79E-05,113,36,63,57,51,0.010155784,21,64,0.011305361,0,37,5553296,18,4,35,29,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014002,1.782904558,3.309241281,0.96052034,1.778991651,2.059521032,0.462607072,0.00241741,0.003976389,2.75E-05,112,39,69,52,55,0.029675397,22,64,0.068351404,54,51,13530831,26,10,39,27,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014003,2.234194183,2.924207816,0.956997392,1.84679725,2.448716757,0.970969862,0.001604551,0.006179303,3.58E-05,113,35,76,54,54,0.025232686,22,60,0.091461717,0,57,10526326,30,19,48,28,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014004,2.789498416,3.429923757,0.622393729,2.252507065,2.482312145,1.036911851,0.000874362,0.000581745,7.49E-06,123,46,47,29,47,0.011381077,23,70,0.014923582,0,50,4105540,48,31,61,37,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330015001,4.308565793,3.430574738,0.166563295,2.832468372,1.391728374,0.529888863,0.003721942,0.001922203,1.88E-05,138,55,21,33,46,0.002906449,26,82,0.012886268,0,59,7650925,56,34,84,53,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330015002,4.804802653,3.778862336,0.513103899,2.993470227,1.579634814,0.717402154,0.002387797,0.001788525,3.82E-05,134,44,26,34,42,0.011393944,26,73,0.006200331,0,67,9141369,42,23,94,48,427,0.84479,0.889573333,0.96052,19,0.841,0.633,0.08197,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330016001,3.370153636,3.492964851,0.077576607,2.587195143,2.123289155,0.930862103,0.004849028,0.000164156,1.49E-05,127,45,45,31,43,0.004711739,24,74,0.004797111,0,113,12207859,44,32,65,42,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330016002,3.78031302,3.033434491,0.331952053,2.340225896,1.293431396,0.708517868,0.001091859,0.001389384,2.02E-05,122,46,53,44,49,0.008005131,25,70,0.081130784,0,70,7707955,40,23,72,38,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
