gis_id,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,total_bikelanes,total_sidewalks,SW_rank1,SW_rank2,SW_rank3,SW_rank4,trans_eff,avg_driving_time,avg_transit_time
530330024002,0.002153198,2.86E-05,57,24,67,80,0.008075022,0.096313008,0.051020735,0.025957273,0.019335,0,0.301587302,19,63
530330024003,0.003691911,1.81E-05,57,22,79,81,0.035440678,0.182448441,0.154400675,0.003939932,0.024107834,0,0.268656716,18,67
530330025001,0.001152638,6.28E-06,50,16,64,78,0.022812973,0.117541938,0.083043484,0.015070089,0.019428364,0,0.283333333,17,60
530330025002,0.004130463,2.21E-05,43,26,70,75,0.033405345,0.154075554,0.117625919,0.003980573,0.032469063,0,0.339622642,18,53
530330026001,0.000175227,1.77E-06,57,23,78,70,0.003531111,0.0480046,0.034130847,0.000220724,0.013653028,0,0.285714286,16,56
530330026002,0.001280982,1.60E-05,48,19,77,80,0.018346964,0.10010725,0.063849792,0.001625047,0.033482021,0.00115039,0.275862069,16,58
530330026003,0.003044958,1.52E-05,43,18,71,78,0.015547924,0.06900509,0.047970899,0,0.021034191,0,0.296296296,16,54
530330026004,0.002089777,1.34E-05,55,22,79,74,0.014262063,0.079487188,0.042377956,0.001758355,0.032059661,0.003291215,0.25862069,15,58
530330027001,0.000964018,1.35E-05,60,23,79,70,0.018453595,0.086676579,0.062804812,0,0.023822256,4.95E-05,0.266666667,16,60
530330027002,0.001706194,1.17E-05,63,29,67,71,0.007916241,0.077016063,0.051413447,0.002983471,0.013196991,0.009422153,0.258064516,16,62
530330027003,0.006651225,2.17E-05,68,28,62,76,0.01603204,0.089866475,0.055670637,0.002047787,0.030670305,0.001477745,0.288135593,17,59
530330027004,0.001407543,5.57E-06,72,23,81,83,0.020023425,0.079758552,0.052416893,0,0.02694013,0.000401528,0.309090909,17,55
530330028001,0.003225571,1.29E-05,79,26,89,80,0.012944304,0.120513772,0.093203448,0,0.027310324,0,0.310344828,18,58
530330028002,0.000783374,3.51E-06,78,26,91,82,0.005828731,0.078273786,0.065199267,0,0.013074519,0,0.310344828,18,58
530330028003,0.002659343,1.09E-05,75,26,87,84,0.011983231,0.10983671,0.095246767,0,0.014589943,0,0.315789474,18,57
530330028004,0.004304741,1.79E-05,81,27,81,77,0.01477043,0.12348998,0.090147387,0,0.033342593,0,0.315789474,18,57
530330029001,0.003972757,1.99E-05,90,33,89,79,0.021926734,0.107921966,0.076193535,0,0.031728431,0,0.316666667,19,60
530330029002,0.001591072,6.92E-06,86,30,91,77,0.021376242,0.086238025,0.075151303,0,0.011086723,0,0.316666667,19,60
530330029003,0.000600251,5.00E-06,93,27,79,79,0.007579929,0.05308012,0.043134833,0.001309896,0.008635392,0,0.454545455,20,44
530330030001,0.001693432,1.14E-05,96,28,75,73,0.013054513,0.096159308,0.081449885,0,0.014709423,0,0.434782609,20,46
530330030002,0.002531753,8.05E-06,105,31,85,68,0.011822029,0.073260939,0.057808376,0,0.015452563,0,0.360655738,22,61
530330030003,0.001855541,6.35E-06,101,30,74,70,0.015940464,0.124715684,0.112216614,0,0.01249907,0,0.333333333,21,63
530330030004,0.002411323,8.17E-06,107,29,78,68,0.016446123,0.141816166,0.12678371,0,0.015032456,0,0.365079365,23,63
530330031001,0.006209221,2.45E-05,115,38,81,74,0.014311801,0.098282677,0.073290167,0,0.024992509,0,0.353846154,23,65
530330031002,0.00080594,3.30E-06,120,38,76,76,0.019449175,0.10557858,0.096270096,0,0.009308483,0,0.363636364,24,66
530330031003,0.00249624,1.12E-05,112,37,74,73,0.012792065,0.084611574,0.073857583,0,0.010753991,0,0.369230769,24,65
530330031004,7.75E-05,8.15E-06,118,41,56,68,0.010003314,0.08719044,0.082920263,0,0.004270177,0,0.362318841,25,69
