gis_id,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper
167,0.648026667,0.753486667,0.95943,0.871,0.608,0.405745,0.778870834,0.9311,0.654,0.443
168,0.863196667,0.909223333,0.96129,0.899,0.649,0.437611667,0.839900834,0.939545,0.749,0.5295
169,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
170,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
171,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
172,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
173,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
174,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
175,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
176,0.532953333,0.624,0.95652,0.887,0.431,0.437611667,0.839900834,0.939545,0.749,0.5295
177,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
178,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
179,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
180,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
181,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
182,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
183,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
184,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
185,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
186,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
187,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
188,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
189,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
190,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
191,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
192,0.625,0.630253333,0.95744,0.877,0.689,0.613686667,0.862800834,0.93905,0.763,0.5575
193,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
194,0.807726667,0.68428,0.9538,0.707,0.483,0.621576667,0.835910834,0.936555,0.7535,0.515
195,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
196,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
197,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
198,0.532953333,0.624,0.95652,0.887,0.431,0.613686667,0.862800834,0.93905,0.763,0.5575
199,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
200,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
201,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
202,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
203,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
204,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
205,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
206,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
207,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
208,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
209,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
210,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
211,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
212,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
213,0.807636667,0.844283333,0.96041,0.877,0.618,0.414888334,0.751675834,0.929175,0.672,0.483
214,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
215,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
216,0.825233333,0.84036,0.95643,0.819,0.656,0.414888334,0.751675834,0.929175,0.672,0.483
217,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
218,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
219,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
220,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
221,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
222,0.746053333,0.84868,0.96024,0.846,0.591,0.414888334,0.751675834,0.929175,0.672,0.483
223,0.746053333,0.84868,0.96024,0.846,0.591,0.414888334,0.751675834,0.929175,0.672,0.483
224,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
225,0.78289,0.85401,0.96336,0.919,0.662,0.414888334,0.751675834,0.929175,0.672,0.483
226,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
227,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
228,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
229,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
230,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
231,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
232,0.487516667,0.516013333,0.96092,0.665,0.573,0.351225,0.726131667,0.92244,0.69,0.4365
233,0.81463,0.753043333,0.96089,0.833,0.601,0.351225,0.726131667,0.92244,0.69,0.4365
234,0.81463,0.753043333,0.96089,0.833,0.601,0.351225,0.726131667,0.92244,0.69,0.4365
235,0.81463,0.753043333,0.96089,0.833,0.601,0.351225,0.726131667,0.92244,0.69,0.4365
236,0.81463,0.753043333,0.96089,0.833,0.601,0.351225,0.726131667,0.92244,0.69,0.4365
237,0.81463,0.753043333,0.96089,0.833,0.601,0.351225,0.726131667,0.92244,0.69,0.4365
238,0.487516667,0.516013333,0.96092,0.665,0.573,0.351225,0.726131667,0.92244,0.69,0.4365
239,0.487516667,0.516013333,0.96092,0.665,0.573,0.351225,0.726131667,0.92244,0.69,0.4365
240,0.34039,0.469936667,0.93836,0.738,0.523,0.351225,0.726131667,0.92244,0.69,0.4365
241,0.34039,0.469936667,0.93836,0.738,0.523,0.351225,0.726131667,0.92244,0.69,0.4365
242,0.34039,0.469936667,0.93836,0.738,0.523,0.351225,0.726131667,0.92244,0.69,0.4365
243,0.34039,0.469936667,0.93836,0.738,0.523,0.351225,0.726131667,0.92244,0.69,0.4365
244,0.832803333,0.822223333,0.95497,0.842,0.624,0.351225,0.726131667,0.92244,0.69,0.4365
245,0.746053333,0.84868,0.96024,0.846,0.591,0.414888334,0.751675834,0.929175,0.672,0.483
