,gis_id,NAME,NBH_names,NCID,population_total,population_female_perc,population_male_perc,population_asian_perc,population_black_perc,population_hispanic_perc,population_white_perc,household_total,median_household_income,per_capita_income,population_edu_total,population_edu_advanced_perc,population_edu_bachelor_perc,population_edu_highschool_perc,population_edu_nodiploma_perc,population_edu_somecollege_perc,population_industry_total,population_industry_administration_perc,population_industry_agriculture_perc,population_industry_art_perc,population_industry_construction_perc,population_industry_education_perc,population_industry_finance_perc,population_industry_informatin_perc,population_industry_management_perc,population_industry_manufacture_perc,population_industry_other_perc,population_industry_retail_perc,population_industry_transportation_perc,population_industry_wholesale_per,population_unemployed_perc,population_no_health_insurance_perc,population_poverty_perc,tenure_total,tenure_renter_perc,tenure_owner_perc,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,sidewalk_availability,avg_driving_time,avg_transit_time,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
23,530330006001,33,600,1,1029,0.471,0.529,0.211,0.052,0.022,0.692,430,82500,37103,855,0.149,0.268,0.204,0.089,0.291,494,0,0,0.146,0.047,0.202,0.053,0.024,0.174,0.063,0.028,0.128,0.136,0,0.081,0.041,0.046,430,0.128,0.872,21,21,19,12,0.005510305,4.75E-05,125,39,34,43,50,0.044844737,0.079137041,23,68,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
24,530330006002,33,600,2,1010,0.524,0.476,0.221,0,0,0.695,501,39438,26869,801,0.145,0.323,0.213,0.075,0.243,571,0,0,0.224,0,0.268,0.112,0,0.163,0.039,0.032,0.112,0.051,0,0,0.141,0.278,501,0.623,0.377,18,15,18,18,0.01062014,5.93E-05,98,30,83,62,54,0.025988939,0.077804591,20,69,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
25,530330006003,33,600,3,1472,0.376,0.624,0.172,0.024,0.262,0.5,674,64479,34569,1052,0.179,0.336,0.175,0.026,0.285,811,0.015,0,0.219,0.127,0.187,0.038,0.016,0.113,0.12,0.047,0.065,0.052,0,0.11,0.179,0.04,674,0.547,0.453,23,11,13,13,0.005868915,3.29E-05,114,36,58,53,50,0.03720831,0.054641754,21,64,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
26,530330006004,33,600,4,1712,0.547,0.453,0.065,0.106,0.029,0.791,756,57826,35172,1351,0.155,0.27,0.274,0.044,0.257,851,0.036,0,0.062,0.069,0.268,0.026,0.028,0.15,0.024,0.13,0.153,0.053,0,0.104,0.133,0.126,756,0.443,0.557,21,21,10,10,0.003379613,1.74E-05,106,36,57,48,56,0.018433893,0.032198356,20,62,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
27,530330006005,33,600,5,924,0.535,0.465,0.074,0.202,0.254,0.47,304,82750,31167,602,0.233,0.211,0.063,0.267,0.226,591,0.025,0,0.232,0.044,0.164,0.034,0.017,0.318,0.025,0.019,0.1,0,0.022,0,0.15,0.023,304,0.339,0.661,23,23,7,7,0.002636598,1.24E-05,112,38,31,40,52,0.015572386,0.018185776,21,72,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
28,530330006006,33,600,6,1527,0.555,0.445,0.154,0.043,0.143,0.719,680,60000,32183,1130,0.212,0.276,0.24,0,0.273,1030,0.042,0,0.13,0.045,0.284,0.066,0,0.152,0.05,0.017,0.164,0.05,0,0.096,0.202,0.11,680,0.619,0.381,16,9,15,15,0.003058412,1.38E-05,99,29,77,61,53,0.034540746,0.030373421,20,65,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
29,530330007001,33,700,1,2101,0.484,0.516,0.252,0.157,0.064,0.543,931,47546,23058,1433,0.142,0.288,0.218,0.045,0.308,1124,0.011,0,0.148,0.013,0.263,0.064,0.012,0.177,0.044,0.084,0.114,0.058,0.012,0.089,0.166,0.216,931,0.698,0.302,7,7,41,23,0.009264835,2.67E-05,99,28,87,72,57,0.016343157,0.04436313,21,58,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
30,530330007002,33,700,2,1128,0.57,0.43,0.093,0.051,0.184,0.741,502,46466,31583,637,0.185,0.422,0.093,0.058,0.242,747,0.06,0,0.102,0,0.241,0.023,0.023,0.34,0.023,0.021,0.149,0.019,0,0,0.172,0.15,502,0.476,0.524,8,8,37,26,0.003920538,1.59E-05,94,32,80,70,57,0.01805326,0.029646191,23,62,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
31,530330007003,33,700,3,1075,0.51,0.49,0.195,0.016,0.169,0.74,434,105333,42269,814,0.217,0.307,0.125,0.057,0.294,637,0.046,0,0.146,0,0.265,0.05,0.024,0.094,0.069,0.11,0.174,0,0.022,0.081,0.03,0.035,434,0.279,0.721,12,6,28,18,0.00472485,2.15E-05,98,31,78,60,57,0.010151638,0.029202061,21,67,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
32,530330007004,33,700,4,588,0.58,0.42,0.046,0.051,0.046,0.747,302,80333,49428,475,0.181,0.467,0.063,0.128,0.16,370,0.043,0,0.041,0,0.335,0.041,0,0.254,0.046,0,0.114,0.084,0.043,0.013,0.015,0.102,302,0.255,0.745,16,10,24,23,0.000462896,4.68E-06,93,32,79,66,57,0.015433975,0.025853332,20,66,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
