OBJECTID,ID,name,TERMINAL_NUMBER,lat,long,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
158013840,292,Taft St & E Gude Dr,32031,39.094103,-77.132954,YES,NO,,,NO,5,10,388498.44225283,158461.08173,
158013841,293,Fleet St & Ritchie Pkwy,32032,39.076331,-77.141378,YES,NO,,,NO,6,9,387766.64569552,156489.26883494,
158013842,294,Piccard & W Gude Dr,32033,39.102212,-77.177091,YES,NO,,,NO,11,8,384681.99807835,159367.76528288,
158013843,295,Ripley & Bonifant St,32034,38.992679,-77.029457,YES,NO,,,NO,8,7,397448.10582111,147193.91499269,
158013844,296,Georgia Ave & Spring St,32035,38.999388,-77.031555,YES,NO,,,NO,4,6,397266.61108519,147938.74232081,
158013845,297,Fenton St & Ellsworth Dr,32036,38.997033,-77.025608,YES,NO,,,NO,3,11,397781.68474404,147677.15218341,
158013846,298,King Farm Blvd & Pleasant Dr,32037,39.114688,-77.171487,YES,NO,,,NO,11,7,385169.33354228,160751.83427443,
158013847,299,King Farm Blvd & Piccard Dr,32038,39.110314,-77.182669,YES,NO,,,NO,6,9,384201.31311065,160268.14020717,
158013848,301,Calvert St & Woodley Pl NW,31121,38.923583,-77.050046,YES,NO,,,NO,1,16,395660.25194765,139524.3986898,
158013849,302,New Jersey Ave & N St NW/Dunbar HS,31636,38.90706,-77.015231,YES,NO,,,NO,0,19,398678.93496158,137689.1287794,
158013850,303,Nannie Helen Burroughs Ave & 49th St NE,31710,38.898536,-76.931862,YES,NO,,,NO,10,1,405910.67420774,136744.99164114,
158013851,304,Deanwood Rec Center,31711,38.908473,-76.933099,YES,NO,,,NO,8,7,405802.5614741,137847.99932996,
158013852,305,Hains Point/Buckeye & Ohio Dr SW,31273,38.878433,-77.03023,YES,NO,,,NO,7,10,397376.94021436,134511.63048068,
158013853,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,YES,NO,,,NO,0,10,392256.73815346,133995.68730513,
158013854,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,YES,NO,,,NO,9,2,395811.77300147,133183.21065875,
158013855,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,YES,NO,,,NO,5,14,390502.08229336,147971.28240078,
158013856,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,YES,NO,,,NO,4,15,392315.96955553,143697.21146898,
158013857,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,YES,NO,,,NO,16,3,399227.02220444,136872.3698297,
158013858,311,31st & Woodrow St S,31072,38.837666,-77.09482,YES,NO,,,NO,5,6,391767.76100852,129990.04042841,
158013859,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,YES,NO,,,NO,4,11,392875.30889503,133935.6067688,
158013860,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,YES,NO,,,NO,7,8,391704.07999902,133514.80715931,
158013861,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,YES,NO,,,NO,5,9,394621.86255124,141475.56998399,
158013862,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,YES,NO,,,NO,5,10,383008.38939989,159468.76971438,
158013863,316,Shady Grove Hospital,32042,39.097636,-77.196636,YES,NO,,,NO,7,12,382990.30463098,158863.23308023,
158013864,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,YES,NO,,,NO,2,9,397930.17345122,147722.84809045,
158013865,318,Rockville Metro East,32044,39.085394,-77.145803,YES,NO,,,NO,5,8,387385.36031083,157495.97307419,
158013866,319,1st & H St NW,31638,38.900358,-77.012108,YES,NO,,,NO,4,10,398949.71056005,136945.11200625,
158013867,320,Fort Totten Metro,31515,38.952369,-77.002721,YES,NO,,,NO,8,11,399764.14322203,142718.71185822,
158013868,321,Takoma Metro,31408,38.975219,-77.016855,YES,NO,,,NO,12,7,398539.47386044,145255.40691126,
158013869,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,YES,NO,,,NO,1,17,400357.62798091,139201.18164889,
158013870,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,YES,NO,,,NO,2,9,393392.99961931,133186.07966769,
158013871,324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,YES,NO,,,NO,11,4,392439.72224526,130238.69248395,
158013872,325,Shady Grove Metro West,32045,39.119765,-77.166093,YES,NO,,,NO,5,14,385636.84639948,161314.58449914,
158013873,326,River Rd & Landy Ln,32046,38.964992,-77.103381,YES,NO,,,NO,8,9,391040.50480235,144125.05115003,
158013874,327,Rockville Metro West,32047,39.084379,-77.146866,YES,NO,,,NO,13,6,387293.21007282,157383.44319069,
158013875,328,Bethesda Metro,32048,38.984691,-77.094537,YES,NO,,,NO,4,8,391809.23272994,146310.99720784,
158013876,329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,YES,NO,,,NO,9,8,393814.20236548,135788.75739915,
158013877,330,34th & Water St NW,31314,38.903663,-77.067668,YES,NO,,,NO,14,5,394130.51811026,137314.0993687,
158013878,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,YES,NO,,,NO,2,13,394713.17102609,126292.34142583,
158013879,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,YES,NO,,,NO,5,9,392045.89232185,136347.70672975,
158013880,333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,YES,NO,,,NO,13,2,390931.12467668,133518.31847561,
