gis_id,population_edu_advanced_perc,population_edu_bachelor_perc,population_edu_highschool_perc,population_edu_nodiploma_perc,population_edu_somecollege_perc,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
530330009002,0.567,0.275,0.024,0.014,0.119,43,13,47,42,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330010001,0.233,0.211,0.172,0.089,0.294,17,13,42,35,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330010002,0.297,0.329,0.058,0.009,0.306,26,13,41,17,482,0.87187,0.898563333,0.96306,18,0.862,0.62,0.09336,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330011001,0.204,0.318,0.133,0.038,0.307,21,12,28,28,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330011002,0.363,0.306,0.101,0.017,0.213,24,17,35,30,232,0.499683333,0.513266667,0.95666,13,0.799,0.553,0.31034,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012001,0.25,0.308,0.076,0.067,0.298,13,9,24,24,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012002,0.251,0.362,0.156,0,0.231,6,6,23,17,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012003,0.107,0.293,0.158,0.165,0.276,6,5,17,15,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012004,0.087,0.294,0.16,0.141,0.318,6,6,15,15,461,0.681476667,0.72335,0.96182,18,0.872,0.684,0.38612,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
530330012005,0.071,0.282,0.176,0.039,0.433,15,15,17,17,241,0.3925,0.374816667,0.95134,13,0.759,0.607,0.73859,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330013001,0.183,0.26,0.101,0.133,0.323,24,16,24,14,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330013002,0.26,0.295,0.138,0.063,0.244,31,27,31,23,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330013003,0.183,0.405,0.082,0.056,0.274,26,17,34,23,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014001,0.161,0.336,0.182,0.028,0.293,18,4,35,29,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014002,0.114,0.307,0.126,0.103,0.351,26,10,39,27,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014003,0.235,0.303,0.077,0.184,0.2,30,19,48,28,383,0.429936667,0.518276667,0.94808,16,0.912,0.554,0.48042,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330014004,0.33,0.351,0.063,0.075,0.181,48,31,61,37,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
530330015001,0.215,0.463,0.076,0.024,0.222,56,34,84,53,294,0.713533333,0.81977,0.96036,16,0.848,0.597,0.09864,122,0.70011,0.659256667,0.93684,19,0.603,0.372,0.3043,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
