block_group,median_household_income,per_capita_income,population_poverty,population_unemployed,population_industry_administration,population_industry_agriculture,population_industry_art,population_industry_construction,population_industry_education,population_industry_finance,population_industry_informatin,population_industry_management,population_industry_manufacture,population_industry_other,population_industry_retail,population_industry_total,population_industry_transportation,population_industry_wholesale
530330038001,86625,47918,122,61,15,5,23,13,160,18,26,103,93,33,59,575,14,13
530330038002,106875,51897,66,9,29,0,96,15,147,33,22,79,44,10,47,534,12,0
530330039001,96536,39533,154,83,5,0,66,26,292,69,48,203,104,61,55,991,47,15
530330039002,145833,63184,15,30,16,0,35,16,157,20,7,142,92,24,21,583,18,35
530330040001,61042,53134,504,164,70,0,51,27,370,50,32,130,88,7,133,996,13,25
530330040002,157426,56916,60,0,15,0,48,23,247,34,7,67,48,3,80,593,0,21
530330041001,74708,47578,179,64,15,0,12,27,225,122,44,124,47,65,32,725,0,12
530330041002,169063,65285,31,47,70,0,55,0,198,104,29,225,63,23,70,837,0,0
530330041003,238021,101789,0,16,0,14,30,11,215,85,16,192,11,36,78,699,0,11
530330041004,95972,56859,78,47,64,0,12,43,340,41,16,221,0,18,0,755,0,0
530330041005,,53380,226,0,0,0,68,0,146,52,36,46,91,17,102,570,0,12
530330041006,195089,103702,32,16,0,0,0,0,41,48,13,90,11,13,36,266,14,0
530330042001,111164,67213,99,67,0,0,0,13,274,28,29,176,14,69,78,726,0,45
530330042002,110000,47713,286,75,46,0,118,14,275,28,44,172,26,27,94,873,0,29
530330042003,82417,59102,57,14,40,0,0,87,412,16,27,367,0,11,90,1077,12,15
530330042004,127813,50476,0,19,17,0,19,9,348,67,51,276,50,0,40,1014,58,79
530330042005,145982,60647,94,2,0,0,26,17,472,39,26,210,110,12,55,995,26,2
530330043011,30357,26469,475,38,22,0,47,5,204,6,30,94,21,18,36,495,0,12
530330043012,70469,47621,107,23,24,0,173,51,176,18,0,145,66,8,39,708,8,0
530330043013,98214,64650,155,46,24,0,39,0,211,38,77,103,52,30,67,660,19,0
530330043021,11638,11528,672,126,0,10,140,15,189,35,42,125,57,47,178,846,0,8
530330043022,20147,14063,927,102,11,0,90,12,348,11,8,56,21,119,0,706,12,18
530330044001,93750,55617,210,27,0,0,76,0,274,16,11,167,12,0,30,620,2,32
530330044002,68816,49711,146,48,0,0,107,0,433,0,29,220,20,97,162,1068,0,0
530330044003,59904,18201,1307,229,0,90,106,0,532,38,103,253,38,416,173,1767,0,18
530330044004,34152,20330,631,60,13,0,232,29,292,50,0,63,16,52,198,962,0,17
530330045001,58661,30748,270,17,31,0,34,16,147,2,53,123,37,24,72,560,16,5
530330045002,106719,46651,347,92,50,14,183,92,372,46,85,279,103,91,89,1449,28,17
530330046001,104286,58195,49,31,0,0,70,19,199,87,16,181,38,13,51,707,33,0
530330046002,130694,58371,95,82,59,0,36,48,214,54,55,185,61,51,57,820,0,0
530330046003,98571,55765,89,7,8,0,36,9,106,26,25,219,50,22,78,599,12,8
530330047001,81207,37710,185,17,0,0,59,0,186,30,152,104,57,19,144,807,26,30
530330047002,61429,45998,70,16,93,0,0,57,190,89,0,396,24,291,196,1448,54,58
530330047003,81356,57641,170,156,0,0,76,78,336,142,72,481,141,196,234,1756,0,0
530330047004,58269,60660,158,137,26,0,271,0,297,240,116,536,74,59,260,1981,74,28
530330048001,104271,50070,15,11,32,0,49,20,113,14,43,254,73,16,120,734,0,0
530330048002,103434,57941,91,103,44,0,56,26,288,25,24,233,88,56,57,897,0,0
530330048003,70114,44136,72,71,0,0,183,81,216,24,18,172,43,10,93,840,0,0
530330048004,115134,42957,124,36,31,0,13,71,243,0,25,145,76,113,128,900,55,0
530330049001,73177,48460,54,0,0,0,73,25,107,69,24,141,96,58,49,697,19,36
530330049002,74561,48354,70,130,16,0,105,114,161,76,39,286,84,60,128,1173,104,0
530330049003,74228,66181,72,0,0,0,72,29,249,61,110,358,76,27,64,1061,15,0
530330049004,71393,44902,95,59,60,19,123,17,269,15,15,375,32,90,90,1147,28,14
530330049005,54714,45811,95,27,0,0,89,16,257,62,98,357,87,54,147,1300,0,133
530330050001,64947,51067,79,43,63,0,84,38,239,57,24,195,100,120,50,1040,14,56
530330050002,86932,59133,18,0,37,0,49,24,147,43,8,159,18,60,31,585,9,0
530330050003,58875,36877,95,46,0,0,118,27,218,14,68,240,61,84,64,927,33,0
530330051001,75179,53810,129,16,9,8,130,8,236,24,20,183,79,25,145,945,23,55
530330051002,136641,62502,40,45,65,0,75,36,190,16,9,139,33,40,41,705,15,46
530330051003,104167,53476,45,23,37,0,55,27,234,22,16,194,34,15,53,736,35,14
530330052001,,10003,641,0,14,0,84,0,264,21,19,90,38,38,13,581,0,0
530330052002,,19546,927,132,34,0,36,43,199,24,0,163,0,31,172,779,21,56
530330052003,47024,49852,276,81,0,0,91,0,159,37,59,151,42,20,166,737,12,0
530330052004,117760,34613,411,35,70,0,174,16,362,38,0,292,92,14,153,1289,17,61
530330052005,22083,23153,512,55,0,0,74,0,217,0,0,97,0,0,97,485,0,0
530330053011,17167,6756,855,367,0,0,303,8,400,44,29,106,23,195,285,1398,4,1
530330053012,13608,15768,982,119,51,0,179,35,214,0,30,92,1,13,142,770,13,0
530330053013,11733,13275,729,179,0,0,92,0,94,17,0,105,19,0,122,498,26,23
530330053014,,10692,637,59,0,0,227,0,148,20,0,20,14,0,38,467,0,0
530330053021,7115,3619,70,185,0,0,40,0,78,8,11,37,0,4,85,271,8,0
530330053022,,4513,0,71,0,0,97,10,127,6,0,0,11,0,0,251,0,0
530330053023,,2517,0,264,0,0,192,10,384,0,37,27,0,25,62,737,0,0
530330054001,108056,50245,52,4,27,0,19,17,160,0,34,231,35,37,62,675,0,53
530330054002,97286,70642,54,11,64,0,41,13,236,43,71,214,13,29,75,848,0,49
530330054003,62869,54817,166,0,0,0,123,61,314,61,74,213,64,48,114,1098,9,17
530330054004,61583,51023,184,52,30,0,65,0,450,65,0,244,69,32,150,1172,33,34
530330056001,141141,73092,78,47,17,0,19,14,133,57,0,156,97,39,77,658,34,15
530330056002,155744,66755,82,0,14,0,51,64,136,69,11,287,58,0,75,765,0,0
530330056003,214338,88469,1,14,15,0,17,15,76,49,0,149,143,15,26,505,0,0
530330056004,183300,69528,39,27,66,0,41,32,176,40,36,118,59,0,31,612,13,0
530330056005,124440,60850,0,76,83,0,52,30,95,70,24,138,0,18,23,533,0,0
530330057001,,59958,52,0,41,0,0,18,13,0,22,59,16,0,44,213,0,0
530330057002,140313,60640,98,14,45,0,113,45,186,40,0,84,43,14,79,666,0,17
530330057003,91724,52721,128,27,13,0,127,0,129,24,23,82,0,22,107,543,16,0
530330057004,105000,45946,21,27,0,0,79,0,27,64,9,145,77,15,44,541,14,67
530330057005,83438,49952,0,54,9,16,15,0,182,27,0,140,20,47,104,603,43,0
530330057006,61964,57905,78,15,74,0,55,18,248,0,30,244,0,46,135,913,18,45
530330058011,65050,33540,169,20,0,0,222,0,170,24,44,87,47,38,144,805,0,29
530330058012,52319,40131,162,55,14,0,149,31,157,27,31,192,40,11,105,895,124,14
530330058013,73922,49994,96,33,37,0,50,44,146,42,0,182,78,34,168,911,87,43
530330058014,71438,45469,74,30,9,0,128,11,144,9,59,117,56,88,219,890,11,39
530330058021,74272,54312,30,40,64,0,146,15,140,103,17,305,57,27,130,1066,46,16
530330058022,61103,48249,195,174,0,20,131,55,367,209,24,339,30,70,221,1526,47,13
530330058023,53897,41764,96,34,16,0,84,42,197,88,12,178,45,44,126,905,15,58
530330059001,67315,35909,389,66,19,0,381,44,368,54,16,301,98,174,103,1560,0,2
530330059002,90938,67969,250,66,33,0,102,0,104,22,11,195,158,46,121,801,0,9
530330059003,52849,13807,147,129,0,8,125,0,204,59,78,25,56,71,0,626,0,0
530330059004,116154,91472,105,17,0,21,138,57,255,12,26,194,27,56,93,938,16,43
530330059005,168173,65801,27,10,11,0,88,13,249,30,0,196,46,45,48,726,0,0
530330060001,81359,61916,172,67,14,0,107,34,71,103,55,351,33,83,132,1027,10,34
530330060002,147755,61486,11,0,59,0,0,55,177,16,39,267,214,0,131,1019,8,53
530330060003,220197,119401,19,12,78,0,94,0,141,31,17,285,0,0,82,748,0,20
530330060004,70547,41790,273,38,0,0,74,102,317,177,25,173,16,140,49,1120,0,47
530330061001,113649,86321,55,22,0,0,95,0,227,14,54,272,25,62,154,958,12,43
530330061002,82946,78130,53,1,0,0,118,0,176,123,50,286,29,15,28,825,0,0
530330061003,74050,60453,40,0,23,0,81,0,204,145,41,358,95,55,54,1169,39,74
530330061004,61875,58880,84,15,37,0,73,11,240,87,75,108,88,100,53,952,0,80
530330062001,99485,55900,94,41,20,0,28,0,220,69,27,292,72,28,53,816,7,0
530330062002,143750,69778,40,32,17,0,32,16,293,83,18,179,38,29,85,820,25,5
530330062003,140417,87457,37,0,38,0,28,0,172,20,0,185,36,40,41,580,10,10
530330063001,105430,73015,95,25,0,0,130,13,258,40,8,162,66,39,75,849,50,8
530330063002,125000,141007,39,21,10,8,28,0,115,20,0,123,31,19,87,441,0,0
530330063003,154145,118739,0,74,30,19,38,0,150,141,8,145,36,0,61,643,0,15
530330063004,201200,110987,55,35,8,0,48,56,160,40,12,102,18,0,20,474,0,10
530330064001,148913,74253,81,12,0,0,7,25,201,28,71,218,23,52,30,694,32,7
530330064002,186406,96928,27,30,0,0,23,0,181,24,35,169,17,0,121,578,0,8
530330064003,147083,79286,31,8,18,0,43,32,160,17,33,214,35,45,43,667,0,27
530330065001,203462,136223,75,70,40,0,0,56,189,91,23,141,23,0,45,685,77,0
530330065002,93138,65757,55,64,29,0,170,133,276,87,0,397,20,32,135,1316,37,0
530330065003,87969,84809,93,51,29,0,113,19,202,53,15,302,147,21,101,1023,0,21
