block_group,occupied_housing_units,perc_owner,perc_family,avg_occupancy
5.30E+11,682,0.564516129,0.576246334,2.156891496
5.30E+11,899,0.244716352,0.388209121,1.959955506
5.30E+11,524,0.580152672,0.345419847,1.759541985
5.30E+11,556,0.629496403,0.491007194,2.214028777
5.30E+11,798,0.370927318,0.353383459,1.815789474
5.30E+11,536,0.669776119,0.289179104,1.608208955
5.30E+11,473,0.532769556,0.608879493,2.501057082
5.30E+11,267,0.797752809,0.423220974,2.31835206
5.30E+11,707,0.558698727,0.439886846,2.53748232
5.30E+11,666,0.321321321,0.402402402,2.115615616
5.30E+11,852,0.579812207,0.480046948,2.085680751
5.30E+11,1182,0.453468697,0.324873096,1.769035533
5.30E+11,533,0.714821764,0.489681051,2.386491557
5.30E+11,460,0.763043478,0.52173913,2.22173913
5.30E+11,820,0.502439024,0.45,2.063414634
5.30E+11,479,0.622129436,0.494780793,2.121085595
5.30E+11,307,0.745928339,0.684039088,2.508143322
5.30E+11,659,0.828528073,0.696509863,2.505311077
5.30E+11,401,0.630922693,0.44638404,2.029925187
5.30E+11,663,0.594268477,0.53092006,2.235294118
5.30E+11,570,0.887719298,0.742105263,2.628070175
5.30E+11,544,0.952205882,0.827205882,2.672794118
5.30E+11,539,0.864564007,0.723562152,2.426716141
5.30E+11,518,1,0.698841699,2.366795367
5.30E+11,390,0.864102564,0.692307692,2.412820513
5.30E+11,361,0.512465374,0.601108033,2.168975069
5.30E+11,496,0.739919355,0.625,2.485887097
5.30E+11,602,0.828903654,0.617940199,2.350498339
5.30E+11,664,0.640060241,0.504518072,2.237951807
5.30E+11,518,0.583011583,0.528957529,2.374517375
5.30E+11,475,0.747368421,0.667368421,2.633684211
5.30E+11,562,0.660142349,0.587188612,2.494661922
5.30E+11,364,0.631868132,0.585164835,2.519230769
5.30E+11,714,0.508403361,0.593837535,2.775910364
5.30E+11,535,0.865420561,0.697196262,2.53271028
5.30E+11,488,0.649590164,0.428278689,2.360655738
5.30E+11,582,0.731958763,0.5395189,2.08419244
5.30E+11,381,0.745406824,0.690288714,2.359580052
5.30E+11,443,0.422121896,0.483069977,2.358916479
5.30E+11,541,0.550831793,0.358595194,1.918669131
5.30E+11,667,0.616191904,0.643178411,2.386806597
5.30E+11,660,0.63030303,0.581818182,2.263636364
5.30E+11,646,0.664086687,0.56501548,2.366873065
5.30E+11,572,0.664335664,0.513986014,2.103146853
5.30E+11,657,0.759512938,0.605783866,2.170471842
