neighborhood,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,health_inverse,dev,population_total,population_female_perc,population_male_perc,perc_under18,perc_19to34,perc_35to64,perc_over65,num_units,num_permits,total_value_permits,math_perc_elem,reading_perc_elem,isa_perc_elem,fam_sat_elem,stu_sat_elem,math_upper,reading_upper,isa_upper,fam_upper,stu_upper,public_health,farmers_market,parks,food_banks,occupied_housing_units,perc_owner,perc_family,avg_occupancy,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,transitscore,total_bikelanes,avg_driving_time,avg_transit_time,sidewalk_availability,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,median_house_value
5.2,33,500,1,-1.082605925,-0.15772051,-0.039056123,1.440077509,0.448472858,-1.227739696,-1.24056606,1.24056606,0.373173596,3478,0.495445149,0.504554851,0.136690392,0.296246989,0.364893447,0.202169171,523,162,109626492,0.653678752,0.567893607,0.956700189,0.870070326,0.596905064,0.351225,0.726131667,0.92244,0.69,0.4365,3.131737735,2.239448783,0.390699163,0.399803357,1742,0.291610757,0.341392564,1.80848187,0.005125713,2.09E-05,18.18495044,12.72995752,83.81504956,78.63994336,81.72011327,0.016403302,18.90998584,47.81997168,0.060838112,0.623432953,0.122928679,45018.24686,32552.0114,0.024169394,2.105824894,318405.7717
5.3,33,500,2,-0.179841347,-0.108980843,0.169159331,0.695055338,-0.307344049,-0.601868761,-0.753102733,0.753102733,-0.083224867,19646,0.486666061,0.513333939,0.155744021,0.397435282,0.372304134,0.074516562,1272,1074,349730761,0.604535907,0.568822506,0.950808324,0.795885317,0.537061903,0.351225,0.726131667,0.92244,0.69,0.4365,3.165453152,1.686543232,0.207472818,0.638299682,8665,0.468359639,0.454834276,2.276113247,0.003967945,1.81E-05,27.57091029,13.14075662,84.64291637,76.13093213,64.47571005,0.018618919,18.98730373,52.61908555,0.091657365,0.3969799,0.114752236,80532.39274,44245.80543,0.046137027,2.601263672,438363.9845
6.1,33,500,3,-0.349212395,-1.376069312,-0.524125154,1.796489991,-1.34902454,-1.582638168,-1.650176698,1.650176698,1.016790599,15861,0.4421766,0.5578234,0.033681137,0.510253062,0.25528782,0.200777981,5113,1272,2313680354,0.372718978,0.440895832,0.941649661,0.7728317,0.540757337,0.353848709,0.725781926,0.921480991,0.685097093,0.443854361,1.464424147,1.077492141,0.209291964,0.46371818,8277,0.16244066,0.220943575,1.478438535,0.004399295,1.94E-05,10.69288142,8.015077618,96.2835322,72.71300209,98.16066269,0.012589782,15.20774651,44.10234156,0.04483825,0.401477947,0.096571243,51634.85977,44658.88041,0.047418909,2.546752418,499148.013
6.2,33,600,1,0.057952047,-1.81330054,-0.201191643,1.610860411,-1.454452845,-1.376564416,-1.48886888,1.48886888,0.175021533,22139,0.435802791,0.564197209,0.045818829,0.553488986,0.338774828,0.061917357,2302,888,1131834621,0.356087812,0.474852858,0.940767059,0.730211199,0.528334795,0.351225,0.726131667,0.92244,0.69,0.4365,1.629855791,0.532661634,0.221157965,0.488069209,14842,0.182979157,0.186370979,1.459571474,0.005778658,2.09E-05,8.383736582,6.442575488,97.16854539,75.01687356,89.91641401,0.013514588,15.6628357,45.89459252,0.064725034,0.329141942,0.097667138,56715.53859,50469.06767,0.030404455,2.761418222,408914.8665
6.3,33,600,2,1.188913671,-1.009329453,-0.257368694,0.414843696,-1.510810506,-0.399443055,-0.446618035,0.446618035,-0.194089682,4449,0.429464397,0.570535603,0.145393175,0.270937613,0.459315422,0.12435379,95,270,80986641,0.34039,0.469936667,0.93836,0.738,0.523,0.351225,0.726131667,0.92244,0.69,0.4365,2.495537101,1.540434062,0.283664167,0.96916325,2434,0.541107282,0.455145433,1.917876685,0.002676113,1.11E-05,19.40628753,11.70472866,75.38448284,64.42551657,67.27316958,0.016348898,17.90157622,54.095254,0.073345004,0.125556217,0.078592444,141541.7441,102420.701,0.045572502,3.152197487,848577.6609
6.4,33,600,3,0.88409349,-0.554325042,0.211322652,0.700483424,-0.041343026,-0.159093324,-0.720880141,0.720880141,-0.213113853,7212,0.493740425,0.506259575,0.171581959,0.280253489,0.447076278,0.101088274,163,468,117262772,0.549260728,0.560753774,0.960914337,0.696710729,0.578285121,0.351225,0.726131667,0.92244,0.69,0.4365,2.946360828,1.477668146,0.362102919,0.48231776,3287,0.56568588,0.475897913,2.159155828,0.005682039,2.45E-05,19.94099856,10.32162921,80.61001472,64.03130904,63.44376666,0.019868323,18.15948366,49.80279677,0.093442692,0.184646022,0.03098215,117220.5964,68379.11924,0.025654435,3.097824605,694927.0062
6.5,33,600,4,1.680252684,-0.667225865,-0.829301097,-0.962857391,0.569885996,0.788749542,1.26338219,-1.26338219,-0.273741706,4988,0.488804523,0.511195477,0.150131175,0.083474293,0.420119532,0.346274999,0,447,84896537,0.81463,0.753043333,0.96089,0.833,0.601,0.351225,0.726131667,0.92244,0.69,0.4365,4.962118861,3.439562733,0.340251417,2.171286949,2478,0.684275328,0.569434202,1.974375853,0.00123431,6.80E-06,50.49789654,13.94455074,67.17669795,57.52321612,36.98160946,0.013463153,21.40735622,63.20187116,0.042055177,0.117460218,0.007559705,140240.1174,122750.7364,0.029158522,3.185173494,1073364.181
7.1,33,600,5,1.063877049,-0.434894722,0.084311794,-0.038970278,0.415122451,0.114212529,0.282157045,-0.282157045,-0.200008653,9282,0.504551314,0.495448686,0.161802574,0.330890559,0.36956236,0.137744508,228,579,141253695,0.806687927,0.799063451,0.955420022,0.828612785,0.620142667,0.351225,0.726131667,0.92244,0.69,0.4365,3.925113507,2.629600215,0.223492706,1.769663495,4519,0.620354608,0.542010399,2.193308234,0.002813857,1.06E-05,26.46246715,14.37196365,68.87116518,57.12920048,60.50693582,0.028780966,16.38366978,56.1409286,0.060695931,0.200671514,0.04204993,104736.8204,68819.57818,0.014846475,3.150318163,728505.9553
7.2,33,600,6,-0.260710872,-1.331907721,0.10309693,0.92475165,0.242205741,1.497076528,-0.649388978,0.649388978,0.032746355,19162,0.526633614,0.473366386,0.048326655,0.785723267,0.135776397,0.03017368,1367,668,933155842,0.745332573,0.69326254,0.956652986,0.781440252,0.571515077,0.620018496,0.841221255,0.93704773,0.755376125,0.523393191,4.870646728,0.894530844,0.448234128,0.813705363,5186,0.152815019,0.179406717,1.466246551,0.007622072,1.93E-05,21.55473195,13.42660172,84.65511902,85.7524084,74.98714656,0.020756411,17.73190128,52.69244768,0.046796799,0.416653039,0.060072608,57931.32889,20126.92952,0.076515904,2.703502558,500777.0234
7.3,33,700,1,0.769148018,-0.118102168,-0.217787214,-0.044001056,0.930725069,2.179046549,0.233650633,-0.233650633,-0.11667386,25562,0.510511271,0.489488729,0.191749726,0.29510125,0.390980698,0.122168325,1428,1430,396817687,0.785486466,0.816959191,0.961890961,0.824400857,0.596493042,0.621576667,0.835910834,0.936555,0.7535,0.515,4.408336804,1.804144645,0.402640257,1.872300465,10117,0.652801827,0.557402228,2.401689621,0.002399764,1.40E-05,40.59175553,19.05234838,76.00771094,74.96111356,56.88739937,0.016598804,18.33437017,57.74809842,0.077419018,0.225101367,0.047392218,92618.70282,49167.08467,0.025141765,3.032617891,554011.879
