block_group,median_earning_female,median_earning_male,population_born_total,population_foreign_born,population_foreign_born_perc,,median_earning_lessthanhighschool,median_earning_highschool,median_earning_somecollege,median_earning_bachelor,median_earning_advance
530330072003,34458,95982,1399,486,0.347390994,,,,,,
530330073001,55924,86000,2514,669,0.266109785,,,,,,
530330073002,25386,35890,1566,388,0.247765006,,,,,,
530330073003,90804,104461,1514,335,0.221268164,,,,,,
530330074011,44668,40988,1330,37,0.027819549,,,,,,
530330074012,,,1314,274,0.208523592,,,,,,
530330074013,35600,51602,1504,521,0.346409574,,,,,,
530330074014,,,871,82,0.094144661,,,,,,
530330074021,23088,52661,1959,299,0.152628892,,,,,,
530330074022,34932,23085,1376,254,0.184593023,,,,,,
530330074023,34342,29781,1875,285,0.152,,,,,,
530330075001,38801,31006,1628,239,0.146805897,,,,,,
530330075002,38419,63800,1363,165,0.121056493,,,,,,
530330075003,34500,55173,1688,333,0.197274882,,,,,,
530330075004,45075,47348,1845,157,0.085094851,,,,,,
530330075005,31202,40192,1259,245,0.194598888,,,,,,
530330076001,38947,66389,1199,177,0.147623019,,,,,,
530330076002,56806,40357,1554,248,0.15958816,,,,,,
530330076003,45288,51282,1118,73,0.06529517,,,,,,
530330077001,43182,62589,1254,29,0.023125997,,,,,,
530330077002,74167,127833,848,123,0.14504717,,,,,,
530330077003,74554,70469,1348,345,0.255934718,,,,,,
530330077004,45357,65948,1673,116,0.069336521,,,,,,
530330078001,52361,182333,1117,157,0.140555058,,,,,,
530330078002,52841,50609,1848,152,0.082251082,,,,,,
530330078003,51932,75028,1321,149,0.112793338,,,,,,
530330078004,44118,110082,1355,140,0.103321033,,,,,,
530330079001,72500,60347,1600,371,0.231875,,,,,,
530330079002,25439,50625,1080,201,0.186111111,,,,,,
530330079003,51176,51531,938,35,0.037313433,,,,,,
530330079004,31231,52438,1281,117,0.091334895,,,,,,
530330079005,44727,42279,1317,101,0.076689446,,,,,,
530330080011,75647,92278,1395,419,0.300358423,,-,36161,27500,79933,101100
530330080012,,,1035,356,0.343961353,,-,36161,27500,79933,101100
530330080013,70887,80880,1052,341,0.324144487,,-,36161,27500,79933,101100
530330080014,55602,86124,1461,529,0.362080767,,-,36161,27500,79933,101100
530330080015,,,1024,209,0.204101563,,-,36161,27500,79933,101100
530330080021,33750,19053,2079,122,0.058682059,,-,21488,27719,61324,61346
530330080022,44734,45089,1390,261,0.187769784,,-,21488,27719,61324,61346
530330081001,70809,86172,1852,658,0.355291577,,,,,,
530330081002,,,1387,229,0.165104542,,,,,,
530330081003,,,1196,205,0.171404682,,,,,,
530330082001,38365,91779,1209,198,0.163771712,,,,,,
530330082002,,,1609,750,0.46612803,,,,,,
530330082003,28958,51583,1048,70,0.066793893,,,,,,
530330083001,49310,51599,1205,259,0.214937759,,-,47927,31745,50326,70944
530330083002,39896,36146,1589,227,0.142857143,,-,47927,31745,50326,70944
530330084001,30773,34088,1372,256,0.186588921,,-,29167,29073,43194,56129
530330084002,44278,50709,1363,265,0.194424065,,-,29167,29073,43194,56129
530330084003,37057,43512,1392,249,0.17887931,,-,29167,29073,43194,56129
530330085001,34516,32569,1381,235,0.170166546,,,,,,
530330085002,,,1007,303,0.300893744,,,,,,
530330085003,,,1923,470,0.244409776,,,,,,
530330086001,25522,24630,1609,254,0.157862026,,,,,,
530330086002,4827,9226,2218,391,0.176284941,,,,,,
530330086003,15933,31929,1063,304,0.285983067,,,,,,
530330087001,28780,26688,1708,112,0.06557377,,,,,,
530330087002,17750,16449,1234,362,0.293354943,,,,,,
530330087003,29250,41415,1498,343,0.228971963,,,,,,
530330088001,31739,56625,1397,129,0.09234073,,,,,,
530330088002,40925,42031,1498,142,0.094793057,,,,,,
530330088003,33871,34650,972,208,0.21399177,,,,,,
530330089001,60647,79091,1256,134,0.106687898,,-,25363,40922,63750,82264
530330089002,,,1124,21,0.018683274,,-,25363,40922,63750,82264
530330089003,,,1255,59,0.047011952,,-,25363,40922,63750,82264
530330089004,,,1051,166,0.157944814,,-,25363,40922,63750,82264
530330090001,41929,51464,1331,175,0.13148009,,,,,,
530330090002,35445,31816,2147,965,0.449464369,,,,,,
530330091001,15938,19539,1415,997,0.70459364,,,,,,
530330091002,23750,31618,1278,672,0.525821596,,,,,,
530330092001,20602,43750,1330,622,0.467669173,,,,,,
530330092002,21932,26829,1307,139,0.106350421,,,,,,
530330093001,23164,42614,920,295,0.320652174,,24688,20641,24250,47917,60556
530330093002,,,701,109,0.155492154,,24688,20641,24250,47917,60556
