block_group,NAME,NBH_names,NCID,socio_status,fam_friendliness,infrastructure,connectivity,elem,upper,health,dev
530330046001,33,4600,1,0.80578188,-0.23934973,1.454535161,-0.124569682,0.8762254,2.6556159,0.096498867,-0.28177493
530330046002,33,4600,2,0.726594,0.12398006,0.511868911,0.317896328,0.97336435,2.5927187,-0.328668573,-0.26469017
530330046003,33,4600,3,0.68453722,0.55511979,-0.089106609,0.426999226,0.82295809,2.5602033,-0.434777947,-0.27413502
530330047001,33,4700,1,0.34730559,-0.84862768,-0.414444088,0.321972953,1.52191947,2.0507485,0.078327777,-0.23933608
530330047002,33,4700,2,0.28387727,-1.81553378,-0.882030046,0.036110452,-0.20926137,2.0053349,0.414220309,-0.17297137
530330047003,33,4700,3,0.59068526,-1.76827688,0.213003106,0.061422733,0.43200825,0.349895,0.330600035,1.24875566
530330047004,33,4700,4,0.3432067,-2.24872149,0.222498679,0.064442695,0.36462921,0.2682509,0.459380451,0.29880146
530330048001,33,4800,1,1.02971799,0.17656151,-0.544578728,-0.057373336,1.44185634,2.5410656,0.157545492,-0.27444583
530330048002,33,4800,2,0.65614755,-0.55717948,-0.639243181,0.281223782,0.04910959,2.1395287,-0.052010473,-0.2755294
530330048003,33,4800,3,0.3028717,-0.79224492,-0.439604587,0.363665205,-0.07541263,1.8779783,-0.038364047,-0.12878008
530330048004,33,4800,4,0.73399564,-0.53670834,-0.97633544,0.238405559,0.0367933,2.1917258,0.087780248,-0.27841872
530330049001,33,4900,1,0.2365208,-1.14951399,-0.458703467,0.072644347,-0.12100064,2.2413956,-0.006154669,-0.27138752
530330049002,33,4900,2,0.23759964,-2.19423534,-1.253884056,0.789942286,-0.11965639,1.8941397,-0.273872281,0.02942168
530330049003,33,4900,3,0.98922247,-1.84603051,-0.65075422,0.634253799,-0.16335406,2.1142187,-0.122036745,-0.14524024
530330049004,33,4900,4,0.86106915,-1.60302492,0.084113153,0.403316394,-0.22988252,2.2188425,-0.096772532,-0.25751229
530330049005,33,4900,5,0.66925083,-2.22030722,-0.534843867,0.395670286,-0.26289712,2.1023356,-0.023471316,-0.23350747
530330050001,33,5000,1,0.64345711,-1.40888685,-0.614371338,0.742211196,0.58860612,2.3650518,-0.40037255,-0.10701023
530330050002,33,5000,2,0.99118211,-1.24368748,-0.298358483,0.460945533,-0.12323372,2.4236919,-0.287878389,0.16741448
530330050003,33,5000,3,0.40635958,-2.09641371,-0.894402055,0.63616544,-0.19526017,2.2720989,-0.317933524,-0.22460685
530330051001,33,5100,1,0.40709909,-0.57787513,-0.693925066,0.803731436,0.71284634,2.2170902,-0.611060842,-0.25139699
530330051002,33,5100,2,1.10040708,0.37573203,0.299616061,0.291122563,-0.14951583,2.7103655,-0.416501918,-0.2717007
530330051003,33,5100,3,1.01280093,-0.17577808,-0.760236481,0.280629242,-0.13143077,2.7588801,-0.277287367,-0.27093804
530330052001,33,5200,1,-1.93344658,-0.53391802,-0.331692146,1.507735688,1.07660123,1.441798,-1.272313257,-0.2119542
530330052002,33,5200,2,-0.37673256,-1.5945299,-0.370330347,1.402755691,0.74120105,1.9896826,-0.924001923,0.33521477
530330052003,33,5200,3,0.52638796,-1.24061071,-1.096101421,1.013649307,0.72820622,2.141411,-0.602975758,-0.26043329
530330052004,33,5200,4,0.26564839,-0.26018466,-0.199518468,1.005384657,0.55778357,2.4241228,-0.819176332,-0.2634206
530330052005,33,5200,5,0.14296436,-1.24292634,0.327489262,1.12099229,0.44885654,1.9683804,-0.881947298,-0.17392015
530330053011,33,5301,1,-0.73298398,-1.30193701,-0.949341466,0.958338263,-0.59209676,1.5199386,-0.840092619,-0.20527143
530330053012,33,5301,2,-0.76708329,-1.6500931,1.590814945,1.629385629,0.70893512,1.4892078,-1.281248411,0.56881833
530330053013,33,5301,3,-1.51922788,-0.91982741,4.451870283,1.604408839,0.79718706,1.2947495,-1.280364772,0.34615668
530330053014,33,5301,4,-1.04964921,-1.18689789,4.09997067,1.623945834,0.86556339,1.5576598,-1.25450885,-0.04361048
530330053021,33,5302,1,-0.24575765,-1.78009774,0.195789928,1.536860068,0.7863748,1.7187993,-0.966751055,-0.21899489
530330053022,33,5302,2,-0.7371355,-0.51435755,1.064911813,1.076798453,-0.20675465,1.3778626,-0.821513395,-0.16045063
530330053023,33,5302,3,-0.90958393,-1.31444462,-0.157456966,0.8628508,-0.04385488,1.0526514,-0.535250167,0.12778798
530330054001,33,5400,1,1.27001868,-0.19471916,0.106630777,0.241383719,-0.1182435,2.7419663,-0.231228428,-0.28477893
530330054002,33,5400,2,0.99114477,-1.07876633,-0.709739659,0.285017166,-0.06623061,2.6899151,-0.114467019,-0.22276306
530330054003,33,5400,3,0.52628875,-1.26392855,-0.085071837,0.574367355,-0.11834638,2.4086343,-0.25453647,0.17351368
530330054004,33,5400,4,0.66350548,-1.95885085,-0.412416475,0.546224673,-0.25952718,2.3935767,-0.197201839,0.57388646
530330056001,33,5600,1,1.38155799,0.91112806,0.199867121,-1.721285039,0.95103199,1.6068882,1.645133567,-0.29142006
530330056002,33,5600,2,1.74196423,0.43894494,-0.816155557,-2.238540693,0.80740371,2.0968908,2.181612377,-0.28134008
530330056003,33,5600,3,1.732178315,0.6718617,-0.601184413,-1.409255913,0.9225992,1.611488822,1.513105295,-0.293817422
530330056004,33,5600,4,1.232808552,1.08520295,-1.059572961,-1.339962882,0.8514712,1.486159433,1.403538014,-0.292966788
530330056005,33,5600,5,1.40438513,0.66285371,-0.259936113,-0.845978095,0.5215039,1.352199716,0.905680188,-0.281687799
530330057001,33,5700,1,1.225783277,0.09397134,-0.131943532,-2.226902864,0.5293768,2.024985651,2.230985427,-0.291614755
530330057002,33,5700,2,1.00940264,0.68513621,-1.017584926,-0.939237552,0.739356,1.277683652,1.034095376,-0.281377992
530330057003,33,5700,3,0.998103227,-0.34491228,-0.039915644,-0.877683684,0.7846733,1.112440298,1.153455817,-0.244986458
530330057004,33,5700,4,0.386105942,1.00191647,0.127006346,-1.130176037,1.115165,1.081350882,1.184638853,-0.292365655
530330057005,33,5700,5,0.883303602,-0.95181698,-0.645408895,-1.061524473,0.4717489,1.263181685,1.280559669,-0.273843241
530330057006,33,5700,6,0.795922997,-0.46986409,0.958265162,-1.105644309,0.6790956,1.123619856,1.33408442,-0.279692374
