gis_id,public_health,farmers_market,parks,food_banks
138,5.572249824,3.451579699,0.618855495,3.502557328
139,6.660299328,3.974522048,0.982463534,3.956819042
140,6.712162723,3.508686022,0.873841176,3.453948308
141,6.829671766,2.884112082,0.191325377,2.758647595
142,6.237459642,2.575426045,0.38352181,2.500211151
143,6.367899258,2.174540588,0.483513173,2.034051389
144,6.486805994,2.938889052,0.109182951,2.7669587
145,5.903375721,3.089930483,0.165049391,3.091993101
146,5.539536858,2.386155477,0.468198205,2.388395468
147,5.659139602,1.703071688,0.618748555,1.633057155
148,5.235231611,1.996698216,0.560809029,2.017954141
149,4.869498955,1.657309182,0.696490866,1.71903615
150,5.363623983,1.144773442,0.454373908,1.073601193
151,4.636885278,1.316116655,0.386799936,1.412542895
152,4.436203757,1.007731252,0.168661127,1.152557733
153,5.066794577,0.597727183,0.302572658,0.549201795
154,5.19513584,0.811490769,0.234610859,0.743670734
155,4.210958592,0.793433341,0.213689076,1.008126271
156,4.041927708,0.747767773,0.12607659,0.837828889
157,4.760376147,0.319094404,0.441702557,0.434667698
158,4.608181424,0.177945677,0.431713415,0.38812888
159,4.307436258,0.587152459,0.423924297,0.354248128
160,4.209338166,0.959251586,0.391061097,0.555517993
161,3.730540254,1.212193416,0.506512109,1.246516095
162,3.994463037,1.519974466,0.117580149,1.092061373
163,4.398122441,1.464472683,0.183408252,0.746255689
164,4.764695218,1.435252174,0.314978186,1.699182478
165,5.450692858,2.026559378,0.346453593,2.140750709
166,5.097077956,1.936364479,0.450942113,1.280645598
167,5.621302009,2.450303237,0.177256686,1.4303449
168,4.818263865,1.352460021,0.111217743,1.606778236
169,5.16126031,2.004747723,0.196345081,1.438358005
170,4.81598565,2.446632522,0.418675226,1.734144973
171,5.135738782,1.662658241,0.493260081,1.875032096
172,4.864990251,1.559091433,0.296945608,0.949552845
173,4.208017573,2.851024583,0.223757373,1.297923677
174,4.417444983,2.65586036,0.366903236,1.319623169
175,4.87823676,2.190387986,0.328416223,1.088919496
176,5.154005666,1.905183691,0.464895433,0.857105648
177,4.822700526,1.919699159,0.528254613,0.201469514
178,4.827272039,2.299330752,0.321268707,0.42065341
179,5.090131719,2.026413711,0.546514796,0.381388237
180,4.809790079,1.474660853,0.166603647,0.533247231
181,4.886469297,1.660097227,0.402915079,0.645443454
182,4.438281373,1.938372066,0.411304879,0.975852612
183,5.232357054,0.9099399,0.142501603,0.683374322
184,4.965031566,1.124037706,0.249123335,0.954965191
185,4.855107034,1.334404089,0.159584663,1.061831022
186,4.920903919,0.986345374,0.514408836,0.56638919
187,4.948774384,0.577747032,0.205593712,0.306722218
188,5.14821954,0.429151087,0.416782287,0.256629366
189,5.004144861,0.282083849,0.415798851,0.155769905
190,5.337423313,0.649702863,0.320698545,0.441374444
