block_group,pop_perc_poc,pop_perc_no_HI,median_household_income,per_capita_income,pop_perc_unemployed,education_level,red_lun_avg,median_house_value
5.30E+11,0.298951049,0,76094,43232,0.031468531,2.748,0.21384,384300
5.30E+11,0.224857685,0.075901328,45975,42810,0.042694497,2.689,0.21384,619100
5.30E+11,0.165876777,0.036334913,74250,41003,0.050552923,2.994,0.21384,450000
5.30E+11,0.158738938,0.064712389,86859,50320,0.045353982,3.026,0.21384,719100
5.30E+11,0.042622951,0.018852459,129063,62798,0.012295082,2.753,0.21384,686500
5.30E+11,0.154231975,0.084012539,95972,44982,0.042633229,2.866,0.188103333,493300
5.30E+11,0.102793296,0.093854749,82303,47350,0.060335196,2.909,0.109546667,341200
5.30E+11,0.250471698,0.147641509,78708,46639,0.033962264,2.749,0.21384,427000
5.30E+11,0.158181818,0.086363636,85227,52530,0.015454545,2.761,0.21384,427000
5.30E+11,0.139211137,0,87188,50924,0.031322506,2.838,0.21384,497000
5.30E+11,0.202172097,0.073517126,93594,47653,0.035923141,2.935,0.109546667,609200
5.30E+11,0.103053435,0.022900763,101063,51180,0.012977099,3.302,0.109546667,501900
5.30E+11,0.15,0.02962963,105543,53279,0,3.038,0.109546667,518500
5.30E+11,0.22439759,0.035391566,86544,49903,0.028614458,2.939,0.105563333,576900
5.30E+11,0.180594901,0.039660057,81806,55100,0.018413598,3.227,0.105563333,565800
5.30E+11,0.277868852,0.066393443,67639,41154,0.026229508,2.67,0.105563333,566900
5.30E+11,0.259208731,0.075716235,50313,41919,0,2.917,0.146243333,522500
5.30E+11,0.468039773,0.103693182,90924,56882,0.010653409,3.227,0.146243333,613900
5.30E+11,0.177539224,0.074318745,82554,47878,0.039636664,3.01,0.146243333,598300
5.30E+11,0.209131075,0.015218459,64810,49456,0.038782523,2.893,0.146243333,559300
5.30E+11,0.149042465,0.050791007,86625,47918,0.050791007,2.933,0.115053333,555300
5.30E+11,0.335062241,0.085062241,106875,51897,0.0093361,2.903,0.115053333,529700
5.30E+11,0.137865007,0.022498803,96536,39533,0.039731929,2.92,0.12744,577000
5.30E+11,0.270433905,0.051463169,145833,63184,0.030272452,2.954,0.12744,569800
5.30E+11,0.383316274,0.047082907,61042,53134,0.083930399,2.906,0.248286667,366700
5.30E+11,0.110162254,0.010247652,157426,56916,0,3.417,0.12744,880500
5.30E+11,0.347352025,0.02258567,74708,47578,0.049844237,3.2,0.248286667,686100
