"","block_group","portion","CRA_NO"
"199","530330056001",0.0430967324249293,"12.1"
"200","530330056002",0.113994830962981,"12.1"
"201","530330056003",0.118455117377464,"12.1"
"202","530330056004",0.131208959781558,"12.1"
"203","530330056005",0.094104911817778,"12.1"
"204","530330057001",0.138040992784978,"12.1"
"205","530330057002",0.136350996777753,"12.1"
"206","530330057003",0.0492744550874427,"12.1"
"207","530330057004",0.0520561911566414,"12.1"
"208","530330057005",0.0979067791921975,"12.1"
"209","530330057006",0.0255100326362778,"12.1"
"210","530330058011",0.0178503444160954,"12.2"
"211","530330058012",0.0559059224922746,"12.2"
"212","530330058013",0.0494801347551091,"12.2"
"213","530330058014",0.202648624595983,"12.2"
"214","530330058021",0.0553068323918882,"12.2"
"215","530330058022",0.339305429097584,"12.2"
"216","530330058023",0.279502712251066,"12.2"
"217","530330059001",0.0356611327893251,"12.3"
"218","530330059002",0.0450306208838404,"12.3"
"219","530330059003",0.0376691884348569,"12.3"
"220","530330059004",0.075322812936002,"12.3"
"221","530330059005",0.029380700290722,"12.3"
"222","530330060001",0.0183868614510949,"12.3"
"223","530330060002",0.051585733697704,"12.3"
"224","530330060003",0.0207541203588273,"12.3"
"225","530330060004",0.0174157336268188,"12.3"
"226","530330061001",0.139245443024093,"7.1"
"227","530330061002",0.145339395812526,"7.1"
"228","530330061003",0.0871166647997546,"7.1"
"229","530330061004",0.0787560266559852,"7.1"
"230","530330062001",0.298481115549344,"7.1"
"231","530330062002",0.17542737135461,"7.1"
"232","530330062003",0.0756339828036875,"7.1"
"233","530330063001",0.130218561878082,"6.5"
"234","530330063002",0.499250058659899,"6.5"
"235","530330063003",0.221995462628552,"6.5"
"236","530330063004",0.148535916833467,"6.5"
"237","530330064001",0.188754338526366,"6.4"
"238","530330064002",0.179449998680057,"6.4"
"239","530330064003",0.159483663507603,"6.4"
"240","530330065001",0.450788109712908,"6.3"
"241","530330065002",0.292101560078609,"6.3"
"242","530330065003",0.257110330208483,"6.3"
"243","530330066001",0.123870319358958,"11.3"
"244","530330066002",0.256042826564138,"11.3"
"245","530330067001",0.0372495786180521,"12.3"
"246","530330067002",0.093233664572881,"12.3"
"247","530330067003",0.0170280992183823,"12.3"
"248","530330067004",0.0727516048573034,"12.3"
"249","530330068001",0.0577239334159506,"12.3"
"250","530330068002",0.0443506618986581,"12.3"
"251","530330069001",0.0424346800193917,"12.3"
"252","530330069002",0.032881968982467,"12.3"
"253","530330069003",0.0293844757003847,"12.3"
"254","530330069004",0.0342164607244903,"12.3"
"255","530330070001",0.0632495921787073,"12.3"
"256","530330070002",0.0047630260108775,"12.3"
"257","530330070003",0.0320209444318255,"12.3"
"258","530330070004",0.0127994092485517,"12.3"
"259","530330070005",0.0225368071622449,"12.3"
"260","530330070006",0.0153981238833648,"12.3"
"261","530330071001",0.0291968609548982,"12.3"
"262","530330071002",0.0275732036523775,"12.3"
"263","530330072001",0.252150308058318,"11.3"
"264","530330072002",0.0761941242804617,"11.3"
"265","530330072003",0.0282502376167508,"11.3"
"266","530330073001",0.101453236444088,"11.3"
"267","530330073002",0.0588819250075059,"11.3"
"268","530330073003",0.10315702266978,"11.3"
"269","530330074011",0.0449502930140394,"6.2"
"270","530330074012",0.0598264682322189,"6.2"
"271","530330074013",0.049792992959231,"6.2"
"272","530330074014",0.0381753025001054,"6.2"
"273","530330074021",0.0591997976305915,"6.2"
"274","530330074022",0.0293280492432227,"6.2"
"275","530330074023",0.106352544373709,"6.2"
"276","530330075001",0.0498351532526666,"6.2"
"277","530330075002",0.0568607445507821,"6.2"
"278","530330075003",0.0680790927104853,"6.2"
"279","530330075004",0.129367679919052,"6.2"
"280","530330075005",0.0561261435979594,"6.2"
"281","530330076001",0.123583732773175,"6.4"
"282","530330076002",0.0906989285835505,"6.4"
"283","530330076003",0.258029337929249,"6.4"
"284","530330077001",0.144628187561417,"5.3"
"285","530330077002",0.0644428758544936,"5.3"
"286","530330077003",0.0636338357434676,"5.3"
"287","530330077004",0.0593968813579795,"5.3"
"288","530330078001",0.175144215975206,"5.1"
"289","530330078002",0.166189726043057,"5.1"
"290","530330078003",0.105745888284577,"5.1"
"291","530330078004",0.115231478306042,"5.1"
"292","530330079001",0.0176803574371924,"5.3"
"293","530330079002",0.0637063096321069,"5.3"
"294","530330079003",0.0201406949692301,"5.3"
"295","530330079004",0.0348073465371699,"5.3"
"296","530330079005",0.0361999524390106,"5.3"
"297","530330080011",0.554278830047103,"13.1"
"298","530330080012",0.0521307806711795,"13.1"
"299","530330080013",0.166695509471163,"13.1"
"300","530330080014",0.0215751573227073,"13.1"
"301","530330080015",0.0111547697493708,"13.1"
"302","530330080021",0.0698983180207624,"13.1"
"303","530330080022",0.124266634717714,"13.1"
"304","530330081001",0.428080115739849,"13.2"
"305","530330081002",0.328722442565567,"13.2"
"306","530330081003",0.243197441694584,"13.2"
"307","530330082001",0.196116283906003,"6.1"
"308","530330082002",0.0280351096096273,"6.1"
"309","530330082003",0.0584349254555133,"6.1"
"310","530330083001",0.056639946009362,"6.1"
"311","530330083002",0.115871390324323,"6.1"
