name,long,lat
Leschi Park,-122.286548,47.600931
Leschi-Lake Dell Natural Area,-122.287835,47.604695
Lewis Park,-122.314435,47.592857
Licorice Fern Natural Area on Thornton Creek,-122.315433,47.723106
Licton Springs Park,-122.338735,47.698542
Lincoln Park,-122.396012,47.531176
Linden Orchard Park,-122.347727,47.678016
Little Brook Park,-122.294567,47.731387
Llandover Woods Greenspace,-122.364545,47.733024
Longfellow Creek Greenspace,-122.363435,47.530167
Louisa Boren Park,-122.311628,47.635274
Lowman Beach Park,-122.396728,47.540367
Loyal Heights Playfield,-122.38324,47.684106
Lynn Street Mini Park,-122.32975,47.639849
MacLean Park,-122.345276,47.636191
Madison Park,-122.276602,47.635779
Madison Park North Beach,-122.276118,47.639084
Madrona Briar Patch,-122.284261,47.615231
Madrona Park,-122.282679,47.609299
Madrona Playground,-122.289885,47.611022
Madrona Ravine,-122.285412,47.611456
Magnolia Greenbelt,-122.389073,47.636006
Magnolia Manor Park,-122.390877,47.651085
Magnolia Park,-122.398993,47.632366
Magnolia Playfield,-122.399472,47.643746
Magnolia Tidelands Park,-122.391648,47.630922
Magnuson Park,-122.255084,47.680304
Maple Leaf Community Garden,-122.322269,47.70326
Maple Leaf Resevoir Park,-122.315613,47.689015
Maple School Ravine,-122.308342,47.551071
Maple Wood Playfield,-122.318845,47.560041
Marra-Desimone Park,-122.329372,47.522124
Marshall Park,-122.366805,47.629436
Martha Washington Park,-122.260054,47.542398
"Martin Luther King, Jr. Memorial",-122.297165,47.582756
Marvin's Garden,-122.384972,47.667976
Matthews Beach Park,-122.271785,47.694564
Mayfair Park,-122.353356,47.643241
McClellan Place,-122.311648,47.578695
McGilvra Boulevard,-122.282116,47.626925
McGilvra Place,-122.313032,47.614233
McGraw Square,-122.337587,47.61299
Meadowbrook Playfield,-122.293493,47.705771
Me-Kwa-Mooks Natural Area,-122.403424,47.563782
Me-Kwa-Mooks Park,-122.404006,47.563167
Meridian Playground,-122.332557,47.664159
Miller Playfield,-122.306261,47.621433
Miller Triangle,-122.305711,47.620311
Mineral Springs Park,-122.336528,47.705755
Mock Creek Ravine,-122.28962,47.699037
Montlake Boulevard,-122.30474,47.645971
Montlake Playfield,-122.310081,47.642407
Morgan Junction,-122.387528,47.545507
Mt. Baker Park,-122.288481,47.580957
Mt. Baker Ridge Viewpoint,-122.292616,47.589983
Mt. Claire Park,-122.28642,47.580737
Myrtle Edwards Park,-122.36087,47.618767
Myrtle Reservoir,-122.376716,47.539206
Nantes Park,-122.397063,47.579565
Nathan Hale Playfield,-122.292028,47.707715
NE 60th Street Park,-122.322634,47.671728
Nora's Woods,-122.294573,47.608732
North Beach Park,-122.390258,47.69471
North Passage Point Park,-122.322428,47.653963
Northacres Park,-122.326124,47.721775
Northeast Queen Anne Greenbelt,-122.345011,47.635866
Northgate Park,-122.322424,47.705194
Northlake Park,-122.320826,47.654365
Northwest 60th St. Viewpoint,-122.40656,47.672184
Observatory Courts,-122.355134,47.631342
Occidental Square,-122.333272,47.600463
Olympic Sculpture Park,-122.35418,47.616577
Open Water Park,-122.386693,47.629555
Orchard Street Ravine,-122.380151,47.538315
Othello Playground,-122.278105,47.536214
Oxbow Park,-122.321583,47.54499
Park Home Circle,-122.305464,47.67005
Parkmont Place,-122.410083,47.640142
Parsons Gardens,-122.366082,47.629868
Peace Park,-122.323616,47.65543
Pelly Place Natural Area,-122.39309,47.541492
Peppi's Playground,-122.290602,47.602723
Piers 62 and 63,-122.345237,47.608656
Pigeon Point Park,-122.356966,47.563271
Pinehurst Playground,-122.314628,47.716436
Pinehurst Pocket Park,-122.308222,47.714186
Pioneer Square,-122.333886,47.602076
Pipers Creek Natural Area,-122.364699,47.714678
Plum Tree Park,-122.299142,47.617053
Plymouth Pillars Park,-122.329092,47.614124
