,block_group,neighborhood,portion,weight
71,530330019003,8.1,0.093511592,1
72,530330020001,8.1,0.169120921,1
73,530330020002,8.1,0.201251423,1
74,530330020003,8.1,0.051711141,1
75,530330021001,7.4,0.079757849,1
76,530330021002,7.4,0.060322996,1
77,530330021003,7.4,0.04014034,1
78,530330022001,7.4,0.064309877,1
79,530330022002,7.4,0.049110537,1
80,530330022003,7.4,0.320612484,1
81,530330022004,7.4,0.059860652,1
82,530330024001,7.4,0.087708904,1
83,530330024002,7.4,0.033320816,1
84,530330024003,7.4,0.042071194,1
85,530330025001,7.3,0.065642515,1
86,530330025002,7.3,0.03111742,1
87,530330026001,7.3,0.077581737,1
88,530330026002,7.3,0.051347471,1
89,530330026003,7.3,0.063406022,1
90,530330026004,7.3,0.051318909,1
91,530330027001,9.4,0.087186959,1
92,530330027002,9.4,0.117789338,1
93,530330027003,9.4,0.063479613,1
94,530330027004,9.4,0.106002491,1
95,530330028001,9.3,0.031561041,1
96,530330028002,9.3,0.038588116,1
97,530330028003,9.3,0.024875024,1
98,530330028004,9.3,0.037850828,1
99,530330029001,9.3,0.047667506,1
100,530330029002,9.3,0.058786467,1
101,530330029003,9.3,0.081299432,1
102,530330030001,10.2,0.131389105,1
103,530330030002,10.2,0.148398742,1
104,530330030003,10.2,0.093996811,1
105,530330030004,10.2,0.073074783,1
106,530330031001,10.3,0.070415509,1
107,530330031002,10.3,0.065271641,1
108,530330031003,10.3,0.076694481,1
109,530330031004,10.3,0.105769975,1
110,530330031005,10.3,0.119547105,1
111,530330032001,10.3,0.03830811,1
112,530330032002,10.3,0.045864047,1
113,530330032003,10.3,0.0736076,1
114,530330032004,10.3,0.06056694,1
115,530330032005,10.3,0.036580767,1
116,530330032006,10.3,0.203619227,1
117,530330032007,10.3,0.103754598,1
118,530330033001,10.2,0.094453157,1
119,530330033002,10.2,0.071252685,1
120,530330033003,10.2,0.133170885,1
121,530330033004,10.2,0.15459107,1
122,530330033005,10.2,0.099672763,1
123,530330034001,9.3,0.030719918,1
124,530330034002,9.3,0.060434554,1
125,530330034003,9.3,0.074299604,1
126,530330035001,9.3,0.05223099,1
127,530330035002,9.3,0.108631405,1
128,530330035003,9.3,0.068245819,1
129,530330036001,9.4,0.144033333,1
130,530330036002,9.4,0.093502501,1
131,530330036003,9.4,0.183963857,1
132,530330036004,9.4,0.038519984,1
133,530330038001,7.3,0.030203296,1
134,530330038002,7.3,0.037279688,1
135,530330039001,7.4,0.070874091,1
136,530330039002,7.4,0.091910261,1
137,530330040001,7.5,0.11033805,1
138,530330040002,7.5,0.072896669,1
139,530330041001,7.5,0.108848357,1
140,530330041002,7.5,0.202413642,1
141,530330041003,7.5,0.096358334,1
142,530330041004,7.5,0.103430135,1
143,530330041005,7.5,0.178751671,1
144,530330041006,7.5,0.126963142,1
145,530330042001,7.3,0.063237121,1
146,530330042002,7.3,0.043362998,1
147,530330042003,7.3,0.093247349,1
148,530330042004,7.3,0.065350578,1
149,530330042005,7.3,0.058788303,1
150,530330043011,7.3,0.045455307,1
151,530330043012,7.3,0.065801941,1
152,530330043013,7.3,0.101548751,1
153,530330043021,7.3,0.029306886,1
154,530330043022,7.3,0.02600371,1
155,530330044001,7.2,0.120947249,1
156,530330044002,7.2,0.169962996,1
157,530330044003,7.2,0.036964318,1
158,530330044004,7.2,0.036289646,1
159,530330045001,11.2,0.059006942,1
160,530330045002,11.2,0.097714741,1
