bg,CRA,portion
530330057003,12.1,1
530330057004,12.1,1
530330057005,12.1,1
530330057006,12.1,1
530330058011,12.2,1
530330058012,12.2,1
530330058013,12.2,1
530330058014,12.2,1
530330058021,12.2,1
530330058022,12.2,1
530330058023,12.2,1
530330059001,12.3,1
530330059002,12.3,1
530330059003,12.3,1
530330059004,12.3,1
530330059005,12.3,1
530330060001,12.3,1
530330060002,12.3,1
530330060003,12.3,1
530330060004,12.3,1
530330061001,7.1,1
530330061002,7.1,1
530330061003,7.1,1
530330061004,7.1,1
530330062001,7.1,1
530330062002,7.1,1
530330062003,7.1,1
530330063001,6.5,1
530330063002,6.5,1
530330063003,6.5,1
530330063004,6.5,1
530330064001,6.4,1
530330064002,6.4,1
530330064003,6.4,1
530330065001,6.3,1
530330065002,6.3,1
530330065003,6.3,1
530330066001,11.3,1
530330066002,11.3,1
530330067001,12.3,1
530330067002,12.3,1
530330067003,12.3,1
530330067004,12.3,1
530330068001,12.3,1
530330068002,12.3,1
530330069001,12.3,1
530330069002,12.3,1
530330069003,12.3,1
530330069004,12.3,1
530330070001,12.3,1
530330070002,12.3,1
530330070003,12.3,1
530330070004,12.3,1
530330070005,12.3,1
530330070006,12.3,1
530330071001,12.3,1
530330071002,12.3,1
530330072001,11.3,1
530330072002,11.3,1
530330072003,11.3,1
530330073001,11.3,1
530330073002,11.3,1
530330073003,11.3,1
530330074011,6.2,1
530330074012,6.2,1
530330074013,6.2,1
530330074014,6.2,1
530330074021,6.2,1
530330074022,6.2,1
530330074023,6.2,1
530330075001,6.2,1
530330075002,6.2,1
530330075003,6.2,1
530330075004,6.2,1
530330075005,6.2,1
530330076001,6.4,1
530330076002,6.4,1
530330076003,6.4,1
530330077001,5.3,1
530330077002,5.3,1
530330077003,5.3,1
530330077004,5.3,1
530330078001,5.1,1
530330078002,5.1,1
530330078003,5.1,1
530330078004,5.1,1
530330079001,5.3,1
530330079002,5.3,1
530330079003,5.3,1
530330079004,5.3,1
530330079005,5.3,1
530330080011,13.1,1
530330080012,13.1,1
530330080013,13.1,1
530330080014,13.1,1
530330080015,13.1,1
530330080021,13.1,1
530330080022,13.1,1
530330081001,13.2,1
530330081002,13.2,1
530330081003,13.2,1
530330082001,6.1,1
530330082002,6.1,1
530330082003,6.1,1
530330083001,6.1,1
530330083002,6.1,1
530330084001,6.2,1
530330084002,6.2,1
530330084003,6.2,1
530330085001,6.1,1
530330085002,6.1,1
530330085003,6.1,1
530330086001,6.1,1
530330086002,6.1,1
530330086003,6.1,1
530330087001,5.3,1
530330087002,5.3,1
530330087003,5.3,1
530330088001,5.3,1
530330088002,5.3,1
530330088003,5.3,1
530330089001,5.1,1
530330089002,5.1,1
530330089003,5.1,1
530330089004,5.1,1
530330090001,5.2,1
530330090002,5.2,1
530330091001,13.3,1
530330091002,13.3,1
530330092001,13.3,1
530330092002,13.3,1
530330093001,3.3,1
530330093002,3.3,1
530330093003,3.3,1
530330094001,3.6,1
530330094002,3.6,1
530330094003,3.6,1
530330094004,3.6,1
530330094005,3.6,1
530330095001,4.4,1
530330095002,4.4,1
530330095003,4.4,1
530330095004,4.4,1
530330096001,1.4,1
530330096002,1.4,1
530330096003,1.4,1
530330096004,1.4,1
530330096005,1.4,1
530330097011,1.4,1
530330097012,1.4,1
530330097013,1.4,1
530330097014,1.4,1
530330097021,1.3,1
530330097022,1.3,1
530330097023,1.3,1
530330097024,1.3,1
530330097025,1.3,1
530330098001,1.3,1
530330098002,1.3,1
530330098003,1.3,1
530330098004,1.3,1
530330098005,1.3,1
530330099001,2.1,1
530330099002,2.1,1
530330099003,2.1,1
530330099004,2.1,1
530330100011,3.6,1
530330100012,3.6,1
530330100013,3.6,1
530330100021,3.6,1
530330100022,3.6,1
530330100023,3.6,1
530330100024,3.6,1
530330101001,4.2,1
530330101002,4.2,1
530330101003,4.2,1
530330101004,4.2,1
530330101005,4.2,1
530330102001,4.3,1
530330102002,4.3,1
530330102003,4.3,1
530330102004,4.3,1
530330103001,4.2,1
530330103002,4.2,1
530330103003,4.2,1
530330103004,4.2,1
530330103005,4.2,1
530330104011,3.5,1
530330104012,3.5,1
530330104013,3.5,1
530330104021,3.5,1
530330104022,3.5,1
530330104023,3.5,1
530330104024,3.5,1
530330105001,1.3,1
530330105002,1.3,1
530330105003,1.3,1
530330105004,1.3,1
530330105005,1.3,1
530330106001,1.2,1
530330106002,1.2,1
530330106003,1.2,1
530330106004,1.2,1
530330106005,1.2,1
530330106006,1.2,1
530330107011,2.2,1
530330107012,2.2,1
530330107021,2.2,1
530330107022,2.2,1
530330107023,2.2,1
530330108001,2.3,1
530330108002,2.3,1
530330108003,2.3,1
530330109001,3.2,1
530330109002,3.2,1
530330110011,3.4,1
530330110012,3.4,1
530330110013,3.4,1
530330110021,3.4,1
530330110022,3.4,1
530330110023,3.4,1
530330111011,4.2,1
530330111012,4.2,1
530330111013,4.2,1
530330111014,4.2,1
530330111021,4.3,1
530330111022,4.3,1
530330111023,4.3,1
530330111024,4.3,1
530330112001,3.1,1
530330112002,3.1,1
530330112003,3.1,1
530330113001,2.5,1
530330113002,2.5,1
530330113003,2.5,1
530330113004,2.5,1
530330113005,2.5,1
530330114011,2.4,1
530330114012,2.4,1
530330114013,2.4,1
530330114021,2.4,1
530330114022,2.4,1
530330114023,2.4,1
530330115001,2.4,1
530330115002,2.4,1
530330115003,2.4,1
530330116001,1.2,1
530330116002,1.2,1
530330116003,1.2,1
530330116004,1.2,1
530330116005,1.2,1
530330116006,1.2,1
530330117001,3.4,1
530330117002,3.4,1
530330117003,3.4,1
530330117004,3.4,1
530330118001,4.1,1
530330118002,4.1,1
530330118003,4.1,1
530330118004,4.1,1
530330118005,4.1,1
530330118006,4.1,1
530330119001,4.1,1
530330119002,4.1,1
530330119003,4.1,1
530330119004,4.1,1
530330119005,4.1,1
530330120001,1.1,1
530330120002,1.1,1
530330120003,1.1,1
530330121001,1.1,1
530330121002,1.1,1
530330201001,4.1,1
530330201002,3.1,1
530330201003,3.1,1
530330202001,2.5,1
530330202002,9.1,1
530330202003,9.1,1
530330202004,9.1,1
530330202005,9.1,1
530330203001,9.1,1
530330203002,9.1,1
530330203003,9.1,1
530330203004,9.1,1
530330203005,9.1,1
530330204011,9.1,1
530330204012,9.1,1
530330204013,9.1,1
530330204021,9.1,1
530330204022,9.1,1
530330204023,9.1,1
530330204024,9.1,1
530330204025,9.1,1
530330205001,9.1,1
530330205002,9.1,1
530330205003,9.1,1
530330205004,9.1,1
530330205005,9.1,1
530330205006,9.1,1
530330206001,9.1,1
530330206002,9.1,1
530330206003,9.1,1
530330206004,9.1,1
530330207001,9.1,1
530330207002,9.1,1
530330207003,9.1,1
530330208001,9.1,1
530330208002,9.1,1
530330208003,9.1,1
530330208004,9.1,1
530330209001,9.1,1
530330209002,9.1,1
530330209003,9.1,1
530330210001,9.1,1
530330210002,9.1,1
530330210003,9.1,1
530330210004,9.1,1
530330210005,9.1,1
530330211001,9.1,1
530330211002,9.1,1
530330211003,9.1,1
530330211004,9.1,1
530330213001,9.1,1
530330213002,9.1,1
530330213003,9.1,1
530330214001,9.1,1
530330214002,9.1,1
530330214003,9.1,1
530330215001,9.1,1
530330215002,9.1,1
530330215003,9.1,1
530330215004,9.1,1
530330216001,9.1,1
530330216002,9.1,1
530330216003,9.1,1
530330216004,9.1,1
530330217001,9.1,1
530330217002,9.1,1
530330217003,9.1,1
530330217004,9.1,1
530330217005,9.1,1
530330218021,9.1,1
530330218022,9.1,1
530330218023,9.1,1
530330218031,9.1,1
530330218032,9.1,1
530330218033,9.1,1
530330218034,9.1,1
530330218041,9.1,1
530330218042,9.1,1
530330218043,9.1,1
530330219031,9.1,1
530330219032,9.1,1
530330219033,9.1,1
530330219034,9.1,1
530330219035,9.1,1
530330219041,9.1,1
530330219042,9.1,1
530330219043,9.1,1
530330219044,9.1,1
530330219051,9.1,1
530330219052,9.1,1
530330219053,9.1,1
530330219054,9.1,1
530330219061,9.1,1
530330219062,9.1,1
530330219063,9.1,1
530330220011,9.1,1
530330220012,9.1,1
530330220013,9.1,1
530330220031,9.1,1
530330220032,9.1,1
530330220033,9.1,1
530330220034,9.1,1
530330220035,9.1,1
530330220051,9.1,1
530330220052,9.1,1
530330220053,9.1,1
530330220061,9.1,1
530330220062,9.1,1
530330220063,9.1,1
530330221011,9.1,1
530330221012,9.1,1
530330221013,9.1,1
530330221014,9.1,1
530330221021,9.1,1
530330221022,9.1,1
530330221023,9.1,1
530330221024,9.1,1
530330222011,9.1,1
530330222012,9.1,1
530330222013,9.1,1
530330222014,9.1,1
530330222021,9.1,1
530330222022,9.1,1
530330222023,9.1,1
530330222024,9.1,1
530330222025,9.1,1
530330222031,9.1,1
530330222032,9.1,1
530330222033,9.1,1
530330223001,9.1,1
530330223002,9.1,1
530330224001,9.1,1
530330224002,9.1,1
530330224003,9.1,1
530330224004,9.1,1
530330224005,9.1,1
530330224006,9.1,1
530330225001,9.1,1
530330225002,9.1,1
530330225003,9.1,1
530330225004,9.1,1
530330225005,9.1,1
530330226031,9.1,1
530330226032,9.1,1
530330226033,9.1,1
530330226034,9.1,1
530330226035,9.1,1
530330226041,9.1,1
530330226042,9.1,1
530330226043,9.1,1
530330226051,9.1,1
530330226052,9.1,1
530330226053,9.1,1
530330226061,9.1,1
530330226062,9.1,1
530330226063,9.1,1
530330226064,9.1,1
530330227011,9.1,1
530330227012,9.1,1
530330227021,9.1,1
530330227022,9.1,1
530330227023,9.1,1
530330227031,9.1,1
530330227032,9.1,1
530330228011,9.1,1
530330228012,9.1,1
530330228013,9.1,1
530330228014,9.1,1
530330228021,9.1,1
530330228022,9.1,1
530330228023,9.1,1
530330228031,9.1,1
530330228032,9.1,1
530330228033,9.1,1
530330229011,9.1,1
530330229012,9.1,1
530330229021,9.1,1
530330229022,9.1,1
530330229023,9.1,1
530330229024,9.1,1
530330229025,9.1,1
530330230001,9.1,1
530330230002,9.1,1
530330230003,9.1,1
530330230004,9.1,1
530330231001,9.1,1
530330231002,9.1,1
530330231003,9.1,1
530330232011,9.1,1
530330232012,9.1,1
530330232013,9.1,1
530330232021,9.1,1
530330232022,9.1,1
530330232023,9.1,1
530330233001,9.1,1
530330233002,9.1,1
530330233003,9.1,1
530330233004,9.1,1
530330234011,9.1,1
530330234012,9.1,1
530330234013,9.1,1
530330234031,9.1,1
530330234032,9.1,1
530330234033,9.1,1
530330234041,9.1,1
530330234042,9.1,1
530330235001,9.1,1
530330235002,9.1,1
530330235003,9.1,1
530330236011,9.1,1
530330236012,9.1,1
530330236013,9.1,1
530330236031,9.1,1
530330236032,9.1,1
530330236033,9.1,1
530330236034,9.1,1
530330236041,9.1,1
530330236042,9.1,1
530330236043,9.1,1
530330236044,9.1,1
530330237001,9.1,1
530330237002,9.1,1
530330237003,9.1,1
530330238011,9.1,1
530330238012,9.1,1
530330238031,9.1,1
530330238032,9.1,1
530330238041,9.1,1
530330238042,9.1,1
530330238043,9.1,1
530330239001,9.1,1
530330239002,9.1,1
530330239003,9.1,1
530330239004,9.1,1
530330240001,9.1,1
530330240002,9.1,1
530330240003,9.1,1
530330240004,9.1,1
530330241001,9.1,1
530330241002,9.1,1
530330241003,9.1,1
530330241004,9.1,1
530330242001,9.1,1
530330242002,9.1,1
530330243001,9.1,1
530330243002,9.1,1
530330243003,9.1,1
530330243004,9.1,1
530330243005,9.1,1
530330244001,9.1,1
530330244002,9.1,1
530330245001,9.1,1
530330245002,9.1,1
530330245003,9.1,1
530330246011,9.1,1
530330246012,9.1,1
530330246013,9.1,1
530330246021,9.1,1
530330246022,9.1,1
530330246023,9.1,1
530330247011,9.1,1
530330247012,9.1,1
530330247013,9.1,1
530330247021,9.1,1
530330247022,9.1,1
530330247023,9.1,1
530330247024,9.1,1
530330247025,9.1,1
530330248001,9.1,1
530330248002,9.1,1
530330248003,9.1,1
530330249011,9.1,1
530330249012,9.1,1
530330249013,9.1,1
530330249014,9.1,1
530330249021,9.1,1
530330249022,9.1,1
530330249023,9.1,1
530330249031,9.1,1
530330249032,9.1,1
530330249033,9.1,1
530330249034,9.1,1
530330250011,9.1,1
530330250012,9.1,1
530330250013,9.1,1
530330250014,9.1,1
530330250031,9.1,1
530330250032,9.1,1
530330250033,9.1,1
530330250034,9.1,1
530330250035,9.1,1
530330250051,9.1,1
530330250052,9.1,1
530330250061,9.1,1
530330250062,9.1,1
530330250063,9.1,1
530330251011,9.1,1
530330251012,9.1,1
530330251013,9.1,1
530330251014,9.1,1
530330251021,9.1,1
530330251022,9.1,1
530330251023,9.1,1
530330251024,9.1,1
530330252001,9.1,1
530330252002,9.1,1
530330252003,9.1,1
530330252004,9.1,1
530330252005,9.1,1
530330253011,9.1,1
530330253012,9.1,1
530330253013,9.1,1
530330253021,9.1,1
530330253022,9.1,1
530330253023,9.1,1
530330254001,9.1,1
530330254002,9.1,1
530330254003,9.1,1
530330254004,9.1,1
530330255001,9.1,1
530330255002,9.1,1
530330255003,9.1,1
530330256011,9.1,1
530330256012,9.1,1
530330256013,9.1,1
530330256021,9.1,1
530330256022,9.1,1
530330256023,9.1,1
530330257011,9.1,1
530330257012,9.1,1
530330257013,9.1,1
530330257014,9.1,1
530330257015,9.1,1
530330257021,9.1,1
530330257022,9.1,1
530330257023,9.1,1
530330258031,9.1,1
530330258032,9.1,1
530330258033,9.1,1
530330258041,9.1,1
530330258042,9.1,1
530330258043,9.1,1
530330258051,9.1,1
530330258052,9.1,1
530330258053,9.1,1
530330258061,9.1,1
530330258062,9.1,1
530330258063,9.1,1
530330260011,9.1,1
530330260012,9.1,1
530330260013,9.1,1
530330260014,9.1,1
530330260015,9.1,1
530330260021,9.1,1
530330260022,9.1,1
530330260023,9.1,1
530330260024,9.1,1
530330261001,9.1,1
530330261002,9.1,1
530330261003,9.1,1
530330261004,9.1,1
530330261005,9.1,1
530330262001,9.1,1
530330262002,9.1,1
530330262003,9.1,1
530330262004,9.1,1
530330263001,9.1,1
530330263002,9.1,1
530330264001,9.1,1
530330264002,9.1,1
530330264003,9.1,1
530330264004,9.1,1
530330264005,9.1,1
530330265001,9.1,1
530330265002,9.1,1
530330265003,9.1,1
530330266001,9.1,1
530330266002,9.1,1
530330267001,9.1,1
530330267002,9.1,1
530330267003,9.1,1
530330267004,9.1,1
530330268011,9.1,1
530330268012,9.1,1
530330268013,9.1,1
530330268014,9.1,1
530330268021,9.1,1
530330268022,9.1,1
530330268023,9.1,1
530330268024,9.1,1
530330270001,9.1,1
530330270002,9.1,1
530330270003,9.1,1
530330271001,9.1,1
530330271002,9.1,1
530330272001,9.1,1
530330272002,9.1,1
530330273001,9.1,1
530330273002,9.1,1
530330273003,9.1,1
530330273004,9.1,1
530330274001,9.1,1
530330274002,9.1,1
530330274003,9.1,1
530330274004,9.1,1
530330275001,9.1,1
530330275002,9.1,1
530330275003,9.1,1
530330275004,9.1,1
530330276001,9.1,1
530330276002,9.1,1
530330276003,9.1,1
530330277011,9.1,1
530330277012,9.1,1
530330277013,9.1,1
530330277014,9.1,1
530330277015,9.1,1
530330277021,9.1,1
530330277022,9.1,1
530330277023,9.1,1
530330277024,9.1,1
530330278001,9.1,1
530330278002,9.1,1
530330278003,9.1,1
530330279001,9.1,1
530330279002,9.1,1
530330279003,9.1,1
530330279004,9.1,1
530330279005,9.1,1
530330279006,9.1,1
530330280001,9.1,1
530330280002,9.1,1
530330280003,9.1,1
530330281001,9.1,1
530330281002,9.1,1
530330282001,9.1,1
530330282002,9.1,1
530330282003,9.1,1
530330283001,9.1,1
530330283002,9.1,1
530330283003,9.1,1
530330284021,9.1,1
530330284022,9.1,1
530330284023,9.1,1
530330284024,9.1,1
530330284031,9.1,1
530330284032,9.1,1
530330284033,9.1,1
530330285001,9.1,1
530330285002,9.1,1
530330285003,9.1,1
530330286001,9.1,1
530330286002,9.1,1
530330286003,9.1,1
530330286004,9.1,1
530330286005,9.1,1
530330286006,9.1,1
530330287001,9.1,1
530330287002,9.1,1
530330287003,9.1,1
530330287004,9.1,1
530330288011,9.1,1
530330288012,9.1,1
530330288013,9.1,1
530330288021,9.1,1
530330288022,9.1,1
530330288023,9.1,1
530330288024,9.1,1
530330289011,9.1,1
530330289012,9.1,1
530330289013,9.1,1
530330289014,9.1,1
530330289021,9.1,1
530330289022,9.1,1
530330289023,9.1,1
530330289024,9.1,1
530330289025,9.1,1
530330290011,9.1,1
530330290012,9.1,1
530330290013,9.1,1
530330290014,9.1,1
530330290031,9.1,1
530330290032,9.1,1
530330290033,9.1,1
530330290034,9.1,1
530330290035,9.1,1
530330290041,9.1,1
530330290042,9.1,1
530330291011,9.1,1
530330291012,9.1,1
530330291021,9.1,1
530330291022,9.1,1
530330291023,9.1,1
530330292031,9.1,1
530330292032,9.1,1
530330292041,9.1,1
530330292042,9.1,1
530330292043,9.1,1
530330292044,9.1,1
530330292051,9.1,1
530330292052,9.1,1
530330292053,9.1,1
530330292061,9.1,1
530330292062,9.1,1
530330292063,9.1,1
530330293031,9.1,1
530330293032,9.1,1
530330293033,9.1,1
530330293034,9.1,1
530330293035,9.1,1
530330293041,9.1,1
530330293042,9.1,1
530330293043,9.1,1
530330293044,9.1,1
530330293051,9.1,1
530330293052,9.1,1
530330293053,9.1,1
530330293054,9.1,1
530330293061,9.1,1
530330293062,9.1,1
530330293071,9.1,1
530330293072,9.1,1
530330293073,9.1,1
530330294031,9.1,1
530330294032,9.1,1
530330294033,9.1,1
530330294051,9.1,1
530330294052,9.1,1
530330294053,9.1,1
530330294054,9.1,1
530330294055,9.1,1
530330294061,9.1,1
530330294062,9.1,1
530330294071,9.1,1
530330294072,9.1,1
530330294073,9.1,1
530330294081,9.1,1
530330294082,9.1,1
530330294083,9.1,1
530330295021,9.1,1
530330295022,9.1,1
530330295023,9.1,1
530330295024,9.1,1
530330295031,9.1,1
530330295032,9.1,1
530330295033,9.1,1
530330295034,9.1,1
530330295035,9.1,1
530330295041,9.1,1
530330295042,9.1,1
530330295043,9.1,1
530330296011,9.1,1
530330296012,9.1,1
530330296013,9.1,1
530330296014,9.1,1
530330296015,9.1,1
530330296021,9.1,1
530330296022,9.1,1
530330296023,9.1,1
530330297001,9.1,1
530330297002,9.1,1
530330297003,9.1,1
530330297004,9.1,1
530330297005,9.1,1
530330298011,9.1,1
530330298012,9.1,1
530330298013,9.1,1
530330298014,9.1,1
530330298015,9.1,1
530330298021,9.1,1
530330298022,9.1,1
530330298023,9.1,1
530330298024,9.1,1
530330298025,9.1,1
530330298026,9.1,1
530330299011,9.1,1
530330299012,9.1,1
530330299013,9.1,1
530330299021,9.1,1
530330299022,9.1,1
530330299023,9.1,1
530330300031,9.1,1
530330300032,9.1,1
530330300033,9.1,1
530330300034,9.1,1
530330300035,9.1,1
530330300041,9.1,1
530330300042,9.1,1
530330300043,9.1,1
530330300044,9.1,1
530330300045,9.1,1
530330300046,9.1,1
530330300051,9.1,1
530330300052,9.1,1
530330300053,9.1,1
530330300061,9.1,1
530330300062,9.1,1
530330301001,9.1,1
530330301002,9.1,1
530330301003,9.1,1
530330301004,9.1,1
530330301005,9.1,1
530330301006,9.1,1
530330301007,9.1,1
530330302011,9.1,1
530330302012,9.1,1
530330302013,9.1,1
530330302014,9.1,1
530330302021,9.1,1
530330302022,9.1,1
530330302023,9.1,1
530330302024,9.1,1
530330302025,9.1,1
530330303041,9.1,1
530330303042,9.1,1
530330303051,9.1,1
530330303052,9.1,1
530330303053,9.1,1
530330303061,9.1,1
530330303062,9.1,1
530330303063,9.1,1
530330303064,9.1,1
530330303081,9.1,1
530330303082,9.1,1
530330303083,9.1,1
530330303084,9.1,1
530330303091,9.1,1
530330303092,9.1,1
530330303093,9.1,1
530330303094,9.1,1
530330303101,9.1,1
530330303102,9.1,1
530330303103,9.1,1
530330303104,9.1,1
530330303111,9.1,1
530330303112,9.1,1
530330303113,9.1,1
530330303114,9.1,1
530330303121,9.1,1
530330303122,9.1,1
530330303123,9.1,1
530330303124,9.1,1
530330303131,9.1,1
530330303132,9.1,1
530330303141,9.1,1
530330303142,9.1,1
530330303143,9.1,1
530330304011,9.1,1
530330304012,9.1,1
530330304013,9.1,1
530330304014,9.1,1
530330304015,9.1,1
530330304031,9.1,1
530330304032,9.1,1
530330304033,9.1,1
530330304041,9.1,1
530330304042,9.1,1
530330304043,9.1,1
530330305011,9.1,1
530330305012,9.1,1
530330305031,9.1,1
530330305032,9.1,1
530330305041,9.1,1
530330305042,9.1,1
530330305043,9.1,1
530330305044,9.1,1
530330306001,9.1,1
530330306002,9.1,1
530330306003,9.1,1
530330306004,9.1,1
530330307001,9.1,1
530330307002,9.1,1
530330307003,9.1,1
530330308011,9.1,1
530330308012,9.1,1
530330308013,9.1,1
530330308021,9.1,1
530330308022,9.1,1
530330308023,9.1,1
530330309011,9.1,1
530330309012,9.1,1
530330309021,9.1,1
530330309022,9.1,1
530330309023,9.1,1
530330310001,9.1,1
530330310002,9.1,1
530330311001,9.1,1
530330311002,9.1,1
530330311003,9.1,1
530330311004,9.1,1
530330311005,9.1,1
530330312021,9.1,1
530330312022,9.1,1
530330312023,9.1,1
530330312024,9.1,1
530330312025,9.1,1
530330312041,9.1,1
530330312042,9.1,1
530330312043,9.1,1
530330312044,9.1,1
530330312045,9.1,1
530330312051,9.1,1
530330312052,9.1,1
530330312053,9.1,1
530330312061,9.1,1
530330312062,9.1,1
530330312063,9.1,1
530330313011,9.1,1
530330313012,9.1,1
530330313021,9.1,1
530330313022,9.1,1
530330313023,9.1,1
530330313024,9.1,1
530330314001,9.1,1
530330314002,9.1,1
530330314003,9.1,1
530330314004,9.1,1
530330314005,9.1,1
530330315011,9.1,1
530330315012,9.1,1
530330315013,9.1,1
530330315021,9.1,1
530330315022,9.1,1
530330315023,9.1,1
530330316011,9.1,1
530330316012,9.1,1
530330316013,9.1,1
530330316031,9.1,1
530330316032,9.1,1
530330316033,9.1,1
530330316034,9.1,1
530330316041,9.1,1
530330316042,9.1,1
530330316043,9.1,1
530330316051,9.1,1
530330316052,9.1,1
530330316053,9.1,1
530330317031,9.1,1
530330317032,9.1,1
530330317033,9.1,1
530330317034,9.1,1
530330317035,9.1,1
530330317041,9.1,1
530330317042,9.1,1
530330317043,9.1,1
530330317051,9.1,1
530330317052,9.1,1
530330317053,9.1,1
530330317061,9.1,1
530330317062,9.1,1
530330317063,9.1,1
530330317064,9.1,1
530330318001,9.1,1
530330318002,9.1,1
530330318003,9.1,1
530330319031,9.1,1
530330319032,9.1,1
530330319033,9.1,1
530330319034,9.1,1
530330319035,9.1,1
530330319041,9.1,1
530330319042,9.1,1
530330319043,9.1,1
530330319061,9.1,1
530330319062,9.1,1
530330319071,9.1,1
530330319072,9.1,1
530330319073,9.1,1
530330319074,9.1,1
530330319075,9.1,1
530330319081,9.1,1
530330319082,9.1,1
530330319083,9.1,1
530330319091,9.1,1
530330319092,9.1,1
530330320021,9.1,1
530330320022,9.1,1
530330320031,9.1,1
530330320032,9.1,1
530330320033,9.1,1
530330320034,9.1,1
530330320051,9.1,1
530330320052,9.1,1
530330320053,9.1,1
530330320054,9.1,1
530330320055,9.1,1
530330320056,9.1,1
530330320061,9.1,1
530330320062,9.1,1
530330320063,9.1,1
530330320071,9.1,1
530330320072,9.1,1
530330320073,9.1,1
